miRNA	Gene	Input
hsa-miR-4789-5p	SRGAP3	-1
hsa-miR-4789-5p	IRX3	-1
hsa-miR-4789-5p	BAZ2B	-1
hsa-miR-4789-5p	TMEM132B	-1
hsa-miR-4789-5p	GABRB3	-1
hsa-miR-4789-5p	SLC6A19	-1
hsa-miR-4789-5p	AAK1	-1
hsa-miR-4789-5p	INO80D	-1
hsa-miR-4789-5p	CMTM6	-1
hsa-miR-4789-5p	PPP4R2	-1
hsa-miR-4789-5p	FGF4	-1
hsa-miR-4789-5p	AJAP1	-1
hsa-miR-4789-5p	SCAI	-1
hsa-miR-4789-5p	HNRNPR	-1
hsa-miR-4789-5p	FOXA1	-1
hsa-miR-519d-3p	AGTPBP1	-1
hsa-miR-519d-3p	ZBTB7A	-1
hsa-miR-519d-3p	PHC3	-1
hsa-miR-519d-3p	RPS6KA5	-1
hsa-miR-519d-3p	VANGL1	-1
hsa-miR-519d-3p	TGFBR2	-1
hsa-miR-519d-3p	VASH2	-1
hsa-miR-519d-3p	ZNF367	-1
hsa-miR-519d-3p	PKD2	-1
hsa-miR-519d-3p	REST	-1
hsa-miR-519d-3p	MKRN1	-1
hsa-miR-519d-3p	ATG16L1	-1
hsa-miR-519d-3p	ARHGAP12	-1
hsa-miR-519d-3p	PTPRD	-1
hsa-miR-519d-3p	FYCO1	-1
hsa-miR-519d-3p	ITPRIPL2	-1
hsa-miR-519d-3p	FRS2	-1
hsa-miR-519d-3p	SALL3	-1
hsa-miR-519d-3p	NR2C2	-1
hsa-miR-519d-3p	ATAD2	-1
hsa-miR-519d-3p	TET3	-1
hsa-miR-519d-3p	RBL2	-1
hsa-miR-519d-3p	CFL2	-1
hsa-miR-519d-3p	TNFRSF21	-1
hsa-miR-519d-3p	ZXDA	-1
hsa-miR-519d-3p	FAM126B	-1
hsa-miR-519d-3p	U2SURP	-1
hsa-miR-519d-3p	STXBP5	-1
hsa-miR-519d-3p	USP46	-1
hsa-miR-519d-3p	MYT1L	-1
hsa-miR-519d-3p	ZNF652	-1
hsa-miR-519d-3p	SEMA7A	-1
hsa-miR-519d-3p	ZFYVE26	-1
hsa-miR-519d-3p	NCOA3	-1
hsa-miR-519d-3p	ARID4B	-1
hsa-miR-519d-3p	SPRED1	-1
hsa-miR-519d-3p	KLHL28	-1
hsa-miR-519d-3p	TBC1D9	-1
hsa-miR-519d-3p	EIF5A2	-1
hsa-miR-519d-3p	RGL1	-1
hsa-miR-519d-3p	SERTAD2	-1
hsa-miR-519d-3p	KIAA0513	-1
hsa-miR-519d-3p	PEX5L	-1
hsa-miR-519d-3p	KCNB1	-1
hsa-miR-519d-3p	EZH1	-1
hsa-miR-519d-3p	CHRM2	-1
hsa-miR-519d-3p	CCND1	-1
hsa-miR-519d-3p	FRMD6	-1
hsa-miR-519d-3p	ZNF704	-1
hsa-miR-519d-3p	STK17B	-1
hsa-miR-519d-3p	BNIP2	-1
hsa-miR-519d-3p	ENPP5	-1
hsa-miR-519d-3p	ATXN1L	-1
hsa-miR-519d-3p	GPR6	-1
hsa-miR-519d-3p	HS3ST5	-1
hsa-miR-519d-3p	UEVLD	-1
hsa-miR-519d-3p	DYNC1LI2	-1
hsa-miR-519d-3p	SLC40A1	-1
hsa-miR-519d-3p	NFAT5	-1
hsa-miR-519d-3p	FBXL5	-1
hsa-miR-519d-3p	RAB22A	-1
hsa-miR-519d-3p	PDCD1LG2	-1
hsa-miR-519d-3p	PLEKHA3	-1
hsa-miR-519d-3p	DENND10	-1
hsa-miR-519d-3p	USP31	-1
hsa-miR-519d-3p	TRIP10	-1
hsa-miR-519d-3p	FCHO2	-1
hsa-miR-519d-3p	ZNF512B	-1
hsa-miR-519d-3p	GLIS3	-1
hsa-miR-519d-3p	RNF128	-1
hsa-miR-519d-3p	FJX1	-1
hsa-miR-519d-3p	EPHA5	-1
hsa-miR-519d-3p	GPR137C	-1
hsa-miR-519d-3p	NIBAN1	-1
hsa-miR-519d-3p	ZC3H12C	-1
hsa-miR-519d-3p	SPOPL	-1
hsa-miR-519d-3p	REEP3	-1
hsa-miR-519d-3p	ITGB8	-1
hsa-miR-519d-3p	ITGA4	-1
hsa-miR-519d-3p	CAMTA1	-1
hsa-miR-519d-3p	FAM117B	-1
hsa-miR-519d-3p	SAR1B	-1
hsa-miR-519d-3p	VLDLR	-1
hsa-miR-519d-3p	FGD4	-1
hsa-miR-519d-3p	ELK4	-1
hsa-miR-519d-3p	SLC24A2	-1
hsa-miR-519d-3p	RUFY2	-1
hsa-miR-519d-3p	ANKRD33B	-1
hsa-miR-519d-3p	NAPEPLD	-1
hsa-miR-519d-3p	MAP3K2	-1
hsa-miR-519d-3p	BCL11B	-1
hsa-miR-519d-3p	NABP1	-1
hsa-miR-519d-3p	ARID4A	-1
hsa-miR-519d-3p	EPHA4	-1
hsa-miR-519d-3p	ANKRD29	-1
hsa-miR-519d-3p	LRIG1	-1
hsa-miR-519d-3p	LAPTM4A	-1
hsa-miR-519d-3p	EMSY	-1
hsa-miR-519d-3p	CMTR2	-1
hsa-miR-519d-3p	FSD1L	-1
hsa-miR-519d-3p	TRIM36	-1
hsa-miR-519d-3p	SAMD12	-1
hsa-miR-519d-3p	NCKAP5	-1
hsa-miR-519d-3p	ZNFX1	-1
hsa-miR-519d-3p	LAMA3	-1
hsa-miR-519d-3p	RRAGD	-1
hsa-miR-519d-3p	MAP3K14	-1
hsa-miR-519d-3p	SACS	-1
hsa-miR-519d-3p	MED12L	-1
hsa-miR-519d-3p	TBC1D20	-1
hsa-miR-519d-3p	ZFYVE9	-1
hsa-miR-519d-3p	HSPA8	-1
hsa-miR-519d-3p	BRMS1L	-1
hsa-miR-519d-3p	ANKIB1	-1
hsa-miR-519d-3p	FOXJ3	-1
hsa-miR-519d-3p	AAK1	-1
hsa-miR-519d-3p	ANKRD52	-1
hsa-miR-519d-3p	ZFP91	-1
hsa-miR-519d-3p	E2F1	-1
hsa-miR-519d-3p	EFCAB14	-1
hsa-miR-519d-3p	USP3	-1
hsa-miR-519d-3p	LPGAT1	-1
hsa-miR-519d-3p	ZBTB41	-1
hsa-miR-519d-3p	PTPN4	-1
hsa-miR-519d-3p	NPAS2	-1
hsa-miR-519d-3p	ZBTB4	-1
hsa-miR-519d-3p	KCNK10	-1
hsa-miR-519d-3p	RASGRF2	-1
hsa-miR-519d-3p	AKTIP	-1
hsa-miR-519d-3p	KMT2B	-1
hsa-miR-519d-3p	TXNIP	-1
hsa-miR-519d-3p	ZNF827	-1
hsa-miR-519d-3p	CLOCK	-1
hsa-miR-519d-3p	NPAT	-1
hsa-miR-519d-3p	C2CD2	-1
