TF	Gene	Input
ATF1	LHB	1
ATF1	CTB-60B18.10	1
ATF1	CGB	1
ATF1	NTF6A	1
ATF1	NTF6G	1
ATF1	CGB2	1
ATF1	CGB1	1
ATF1	CTB-60B18.6	1
ATF1	CTB-60B18.17	1
ATF1	CGB5	1
ATF1	C19orf73	1
ATF1	PPFIA3	1
ATF1	SLC17A7	1
ATF1	FLT3LG	1
ATF1	CTD-3148I10.15	1
ATF1	RPL13A	1
ATF1	SNORD32A	1
ATF1	SNORD33	1
ATF1	SNORD34	1
ATF1	SNORD35A	1
ATF1	RPS11	1
ATF1	SNORD35B	1
ATF1	MIR150	1
ATF1	COX6CP7	1
ATF1	RRAS	1
ATF1	SCAF1	1
ATF1	PRMT1	1
ATF1	AKT1S1	1
ATF1	TBC1D17	1
ATF1	KCNC3	1
ATF1	NAPSB	1
ATF1	NAPSA	1
ATF1	CTB-191K22.6	1
ATF1	NR1H2	1
ATF1	MYBPC2	1
ATF1	FAM71E1	1
ATF1	EMC10	1
ATF1	JOSD2	1
ATF1	ASPDH	1
ATF1	ZNF614	1
ATF1	ZNF808	1
ATF1	TFPT	1
ATF1	PRPF31	1
ATF1	LENG8-AS1	1
ATF1	LENG8	1
ATF1	CTC-550B14.7	1
ATF1	RDH13	1
ATF1	CTC-550B14.6	1
ATF1	EPS8L1	1
ATF1	PPP1R12C	1
ATF1	HSPBP1	1
ATF1	BRSK1	1
ATF1	UBE2S	1
ATF1	ZNF628	1
ATF1	NAT14	1
ATF1	SSC5D	1
ATF1	ZNF580	1
ATF1	ZNF581	1
ATF1	CTD-2537I9.12	1
ATF1	EPN1	1
ATF1	ZSCAN5A	1
ATF1	AC006116.17	1
ATF1	ZNF805	1
ATF1	ZNF460	1
ATF1	CTC-444N24.6	1
ATF1	DESI2	1
ATF1	ZNF543	1
ATF1	ZNF547	1
ATF1	TRAPPC2B	1
ATF1	AC003002.4	1
ATF1	ZNF548	1
ATF1	AC003002.6	1
ATF1	ZNF17	1
ATF1	AC004076.9	1
ATF1	ZNF772	1
ATF1	AC003005.2	1
ATF1	ZNF419	1
ATF1	AC003005.4	1
ATF1	ZNF550	1
ATF1	ZIK1	1
ATF1	ZNF416	1
ATF1	ZNF417	1
ATF1	CTD-2583A14.9	1
ATF1	ZBTB45	1
ATF1	RN7SL525P	1
ATF1	TRIM28	1
ATF1	MIR6807	1
ATF1	CHMP2A	1
ATF1	UBE2M	1
ATF1	MZF1-AS1	1
ATF1	NRSN2	1
ATF1	NRSN2-AS1	1
ATF1	TRIB3	1
ATF1	RP4-545L17.12	1
ATF1	SDCBP2-AS1	1
ATF1	SDCBP2	1
ATF1	IDH3B	1
ATF1	RP4-686C3.7	1
ATF1	AP5S1	1
ATF1	TMEM230	1
ATF1	Y_RNA	1
ATF1	PCNA	1
ATF1	SNORA26	1
ATF1	CDS2	1
ATF1	GPCPD1	1
ATF1	SNAP25	1
ATF1	SNAP25-AS1	1
ATF1	SNRPB2	1
ATF1	RP4-705D16.3	1
ATF1	SNX5	1
ATF1	MGME1	1
ATF1	SEC23B	1
ATF1	LINC00652	1
ATF1	RP5-1068E13.7	1
ATF1	XRN2	1
ATF1	RP1-198K11.5	1
ATF1	LINC00656	1
ATF1	RP4-737E23.5	1
ATF1	RNA5SP478	1
ATF1	NXT1	1
ATF1	RP3-322G13.7	1
ATF1	LINC01431	1
ATF1	GZF1	1
ATF1	APMAP	1
ATF1	ZNF337	1
ATF1	HM13	1
ATF1	MCTS2P	1
ATF1	ID1	1
ATF1	RNA5SP481	1
ATF1	CCM2L	1
ATF1	TM9SF4	1
ATF1	ZNF341-AS1	1
ATF1	CHMP4B	1
ATF1	PIGU	1
ATF1	TP53INP2	1
ATF1	NCOA6	1
ATF1	EIF6	1
ATF1	FAM83C-AS1	1
ATF1	SPAG4	1
ATF1	CPNE1	1
ATF1	RBM12	1
ATF1	NFS1	1
ATF1	ROMO1	1
ATF1	PHF20	1
ATF1	C20orf24	1
ATF1	MANBAL	1
ATF1	TTI1	1
ATF1	RPRD1B	1
ATF1	SNHG11	1
ATF1	SNORA60	1
ATF1	IFT52	1
ATF1	PIGT	1
ATF1	WFDC3	1
ATF1	DNTTIP1	1
ATF1	ZNF335	1
ATF1	DDX27	1
ATF1	RP11-112L6.3	1
ATF1	RP11-112L6.2	1
ATF1	RN7SL672P	1
ATF1	ADNP	1
ATF1	ADNP-AS1	1
ATF1	DPM1	1
ATF1	MOCS3	1
ATF1	ZNF217	1
ATF1	AC005808.3	1
ATF1	AURKA	1
ATF1	CSTF1	1
ATF1	RTFDC1	1
ATF1	RAE1	1
ATF1	PPP4R1L	1
ATF1	MTG2	1
ATF1	RP5-908M14.9	1
ATF1	RPS21	1
ATF1	RP4-697K14.3	1
ATF1	RP4-591C20.9	1
ATF1	TPD52L2	1
ATF1	SAMD10	1
ATF1	PRPF6	1
ATF1	TCEA2	1
ATF1	GTPBP4	1
ATF1	RP11-363N22.3	1
ATF1	KLF6	1
ATF1	RP11-563J2.2	1
ATF1	PRKCQ	1
ATF1	PRKCQ-AS1	1
ATF1	RP11-138I18.1	1
ATF1	USP6NL	1
ATF1	RP11-730A19.7	1
ATF1	MCM10	1
ATF1	PHYH	1
ATF1	HSPA14	1
ATF1	NSUN6	1
ATF1	EIF4BP2	1
ATF1	YME1L1	1
ATF1	MASTL	1
ATF1	CCDC7	1
ATF1	CREM	1
ATF1	ZNF25	1
ATF1	RP11-393J16.4	1
ATF1	SEPT7P9	1
ATF1	C10orf128	1
ATF1	ANK3	1
ATF1	ADO	1
ATF1	RP11-436D10.3	1
ATF1	EGR2	1
ATF1	RP11-144G16.1	1
ATF1	NRBF2	1
ATF1	CCAR1	1
ATF1	DDX50	1
ATF1	DDX21	1
ATF1	SRGN	1
ATF1	HK1	1
ATF1	SAR1A	1
ATF1	EIF4EBP2	1
ATF1	ECD	1
ATF1	FAM149B1	1
ATF1	USP54	1
ATF1	RP11-574K11.24	1
ATF1	SEC24C	1
ATF1	POLR3A	1
ATF1	ANXA11	1
ATF1	GHITM	1
ATF1	RP11-338I21.1	1
ATF1	CCSER2	1
ATF1	RP11-402D21.2	1
ATF1	FGFBP3	1
ATF1	BTAF1	1
ATF1	ENTPD1-AS1	1
ATF1	FRAT1	1
ATF1	RP11-452K12.7	1
ATF1	RRP12	1
ATF1	ZFYVE27	1
ATF1	R3HCC1L	1
ATF1	CHUK	1
ATF1	RP11-316M21.6	1
ATF1	POLL	1
ATF1	DPCD	1
ATF1	HPS6	1
ATF1	NOLC1	1
ATF1	C10orf95	1
ATF1	RPARP-AS1	1
ATF1	MXI1	1
ATF1	RP11-549L6.3	1
ATF1	DUSP5	1
ATF1	CASP7	1
ATF1	TRUB1	1
ATF1	PDZD8	1
ATF1	TIAL1	1
ATF1	PSTK	1
ATF1	RP11-298J20.4	1
ATF1	FANK1	1
ATF1	PPP2R2D	1
ATF1	INPP5A	1
ATF1	RP13-49I15.6	1
ATF1	TUBGCP2	1
ATF1	ZNF511	1
ATF1	PRAP1	1
ATF1	MIR4645	1
ATF1	BPHL	1
ATF1	RP1-40E16.11	1
ATF1	TUBB2A	1
