Pathway	Gene	Correlation
"Alanine, aspartate and glutamate metabolism"	ASL	1
"Alanine, aspartate and glutamate metabolism"	ASRGL1	1
"Alanine, aspartate and glutamate metabolism"	GPT	1
"Alanine, aspartate and glutamate metabolism"	RIMKLA	1
"Alanine, aspartate and glutamate metabolism"	GPT2	1
Glycosphingolipid biosynthesis - lacto and neolacto series	ABO	1
Glycosphingolipid biosynthesis - lacto and neolacto series	ST3GAL6	1
Glycosphingolipid biosynthesis - lacto and neolacto series	FUT3	1
Glycosphingolipid biosynthesis - lacto and neolacto series	FUT6	1
Glycosphingolipid biosynthesis - lacto and neolacto series	B3GALNT1	1
Glycosphingolipid biosynthesis - lacto and neolacto series	B3GNT3	1
Glycosphingolipid biosynthesis - lacto and neolacto series	B3GNT4	1
MAPK signaling pathway	AREG	1
MAPK signaling pathway	TEK	1
MAPK signaling pathway	NFATC1	1
MAPK signaling pathway	CSF1	1
MAPK signaling pathway	PDGFRA	1
MAPK signaling pathway	CACNA2D2	1
MAPK signaling pathway	RASGRP2	1
MAPK signaling pathway	RASGRP3	1
MAPK signaling pathway	MAP3K12	1
MAPK signaling pathway	AKT3	1
MAPK signaling pathway	MAP4K1	1
MAPK signaling pathway	KIT	1
MAPK signaling pathway	MAPK10	1
MAPK signaling pathway	MAPK11	1
MAPK signaling pathway	MAPK12	1
MAPK signaling pathway	MAPK8IP2	1
MAPK signaling pathway	PRKCB	1
MAPK signaling pathway	FGFR1	1
MAPK signaling pathway	IL1R1	1
MAPK signaling pathway	FLT3LG	1
MAPK signaling pathway	FLT4	1
MAPK signaling pathway	MEF2C	1
MAPK signaling pathway	MET	1
Ras signaling pathway	PDGFRA	1
Ras signaling pathway	PLCG2	1
Ras signaling pathway	RASAL3	1
Ras signaling pathway	RASGRP2	1
Ras signaling pathway	RASGRP3	1
Ras signaling pathway	RASSF5	1
Ras signaling pathway	AKT3	1
Ras signaling pathway	GNB4	1
Ras signaling pathway	KIT	1
Ras signaling pathway	GNG2	1
Ras signaling pathway	MAPK10	1
Ras signaling pathway	GNG7	1
Ras signaling pathway	GNGT2	1
Ras signaling pathway	ETS1	1
Ras signaling pathway	PRKCB	1
Ras signaling pathway	TEK	1
Ras signaling pathway	KSR2	1
Ras signaling pathway	FGFR1	1
Ras signaling pathway	ZAP70	1
Ras signaling pathway	CSF1	1
Ras signaling pathway	PIK3CD	1
Ras signaling pathway	FLT3LG	1
Ras signaling pathway	FLT4	1
Ras signaling pathway	MET	1
Rap1 signaling pathway	APBB1IP	1
Rap1 signaling pathway	PDGFRA	1
Rap1 signaling pathway	PLCB2	1
Rap1 signaling pathway	RASGRP2	1
Rap1 signaling pathway	RASGRP3	1
Rap1 signaling pathway	RASSF5	1
Rap1 signaling pathway	AKT3	1
Rap1 signaling pathway	GNAO1	1
Rap1 signaling pathway	KIT	1
Rap1 signaling pathway	MAPK11	1
Rap1 signaling pathway	MAPK12	1
Rap1 signaling pathway	ITGAL	1
Rap1 signaling pathway	CDH1	1
Rap1 signaling pathway	EVL	1
Rap1 signaling pathway	PRKCB	1
Rap1 signaling pathway	PARD6G	1
Rap1 signaling pathway	TEK	1
Rap1 signaling pathway	FGFR1	1
Rap1 signaling pathway	ADCY1	1
Rap1 signaling pathway	ADCY4	1
Rap1 signaling pathway	ADCY5	1
Rap1 signaling pathway	CSF1	1
Rap1 signaling pathway	PIK3CD	1
Rap1 signaling pathway	FLT4	1
Rap1 signaling pathway	LCP2	1
Rap1 signaling pathway	MET	1
JAK-STAT signaling pathway	PDGFRA	1
JAK-STAT signaling pathway	EPOR	1
JAK-STAT signaling pathway	OSMR	1
JAK-STAT signaling pathway	AKT3	1
JAK-STAT signaling pathway	STAT4	1
JAK-STAT signaling pathway	PTPN6	1
JAK-STAT signaling pathway	SOCS2	1
JAK-STAT signaling pathway	JAK3	1
JAK-STAT signaling pathway	IL10RA	1
JAK-STAT signaling pathway	IL12RB1	1
JAK-STAT signaling pathway	CSF2RB	1
JAK-STAT signaling pathway	BCL2	1
JAK-STAT signaling pathway	PIK3CD	1
JAK-STAT signaling pathway	IL20RA	1
JAK-STAT signaling pathway	IL21R	1
JAK-STAT signaling pathway	IL27RA	1
JAK-STAT signaling pathway	IL2RB	1
JAK-STAT signaling pathway	IL7R	1
Sphingolipid signaling pathway	PLCB2	1
