Pathway	Gene	Correlation
Oxidative phosphorylation	NDUFV3	1
Oxidative phosphorylation	ATP6V0B	1
Oxidative phosphorylation	UQCR10	1
Oxidative phosphorylation	UQCR11	1
Oxidative phosphorylation	UQCRC1	1
Oxidative phosphorylation	UQCRHL	1
Oxidative phosphorylation	UQCRQ	1
Oxidative phosphorylation	NDUFA1	1
Oxidative phosphorylation	NDUFA11	1
Oxidative phosphorylation	NDUFA13	1
Oxidative phosphorylation	NDUFA3	1
Oxidative phosphorylation	NDUFA8	1
Oxidative phosphorylation	NDUFA9	1
Oxidative phosphorylation	COX4I1	1
Oxidative phosphorylation	COX5A	1
Oxidative phosphorylation	COX5B	1
Oxidative phosphorylation	COX6A1	1
Oxidative phosphorylation	NDUFB10	1
Oxidative phosphorylation	COX6B1	1
Oxidative phosphorylation	NDUFB11	1
Oxidative phosphorylation	COX7B	1
Oxidative phosphorylation	NDUFB7	1
Oxidative phosphorylation	COX8A	1
Oxidative phosphorylation	NDUFS3	1
Oxidative phosphorylation	NDUFS5	1
Oxidative phosphorylation	NDUFS6	1
Oxidative phosphorylation	NDUFS8	1
Purine metabolism	ENTPD1	1
Purine metabolism	ADCY1	1
Purine metabolism	ADCY4	1
Purine metabolism	ADCY5	1
Purine metabolism	NPR1	1
Purine metabolism	NPR2	1
Purine metabolism	PDE1C	1
Purine metabolism	PDE2A	1
Purine metabolism	PDE3A	1
Purine metabolism	PDE5A	1
Purine metabolism	PDE8B	1
MAPK signaling pathway	PLA2G4C	1
MAPK signaling pathway	GADD45B	1
MAPK signaling pathway	TEK	1
MAPK signaling pathway	VEGFC	1
MAPK signaling pathway	MRAS	1
MAPK signaling pathway	TGFB2	1
MAPK signaling pathway	TGFB3	1
MAPK signaling pathway	CSF1	1
MAPK signaling pathway	TGFBR1	1
MAPK signaling pathway	DUSP10	1
MAPK signaling pathway	PDGFA	1
MAPK signaling pathway	PDGFB	1
MAPK signaling pathway	PDGFC	1
MAPK signaling pathway	PDGFD	1
MAPK signaling pathway	PDGFRA	1
MAPK signaling pathway	PDGFRB	1
MAPK signaling pathway	KDR	1
MAPK signaling pathway	CACNA1H	1
MAPK signaling pathway	RASGRP3	1
MAPK signaling pathway	GNA12	1
MAPK signaling pathway	MAP3K12	1
MAPK signaling pathway	MAP3K3	1
MAPK signaling pathway	AKT3	1
MAPK signaling pathway	MAPKAPK2	1
MAPK signaling pathway	PGF	1
MAPK signaling pathway	ANGPT2	1
MAPK signaling pathway	FGF1	1
MAPK signaling pathway	FGFR1	1
MAPK signaling pathway	IL1R1	1
MAPK signaling pathway	FLT1	1
MAPK signaling pathway	FLT3LG	1
MAPK signaling pathway	FLT4	1
MAPK signaling pathway	MEF2C	1
Ras signaling pathway	PDGFA	1
Ras signaling pathway	PDGFB	1
Ras signaling pathway	PDGFC	1
Ras signaling pathway	PDGFD	1
Ras signaling pathway	PDGFRA	1
Ras signaling pathway	PDGFRB	1
Ras signaling pathway	KDR	1
Ras signaling pathway	PLA2G4C	1
Ras signaling pathway	RASGRP3	1
Ras signaling pathway	AKT3	1
Ras signaling pathway	GNB4	1
Ras signaling pathway	GNB5	1
Ras signaling pathway	GNG11	1
Ras signaling pathway	GNG2	1
Ras signaling pathway	PGF	1
Ras signaling pathway	ETS1	1
Ras signaling pathway	SHC1	1
Ras signaling pathway	ANGPT2	1
Ras signaling pathway	TEK	1
Ras signaling pathway	FGF1	1
Ras signaling pathway	FGFR1	1
Ras signaling pathway	VEGFC	1
Ras signaling pathway	MRAS	1
Ras signaling pathway	CSF1	1
Ras signaling pathway	FLT1	1
Ras signaling pathway	FLT3LG	1
Ras signaling pathway	FLT4	1
Rap1 signaling pathway	PDGFA	1
Rap1 signaling pathway	PDGFB	1
Rap1 signaling pathway	PDGFC	1
Rap1 signaling pathway	PDGFD	1
Rap1 signaling pathway	PDGFRA	1
Rap1 signaling pathway	PDGFRB	1
Rap1 signaling pathway	KDR	1
Rap1 signaling pathway	RASGRP3	1
Rap1 signaling pathway	GNAI2	1
Rap1 signaling pathway	AKT3	1
Rap1 signaling pathway	LPAR1	1
Rap1 signaling pathway	ID1	1
Rap1 signaling pathway	PGF	1
Rap1 signaling pathway	ITGAM	1
Rap1 signaling pathway	ITGB1	1
Rap1 signaling pathway	ITGB3	1
Rap1 signaling pathway	EVL	1
Rap1 signaling pathway	PRKD1	1
Rap1 signaling pathway	PARD6G	1
Rap1 signaling pathway	ANGPT2	1
Rap1 signaling pathway	TEK	1
Rap1 signaling pathway	FGF1	1
Rap1 signaling pathway	DOCK4	1
Rap1 signaling pathway	F2R	1
Rap1 signaling pathway	FGFR1	1
Rap1 signaling pathway	F2RL3	1
Rap1 signaling pathway	VEGFC	1
Rap1 signaling pathway	MRAS	1
Rap1 signaling pathway	CSF1	1
Rap1 signaling pathway	THBS1	1
Rap1 signaling pathway	FLT1	1
Rap1 signaling pathway	FLT4	1
Rap1 signaling pathway	PDGFRB	1
Rap1 signaling pathway	MAGI2	1
Rap1 signaling pathway	RAPGEF4	1
Rap1 signaling pathway	RASGRP2	1
Rap1 signaling pathway	GNAI1	1
Rap1 signaling pathway	AKT3	1
Rap1 signaling pathway	GNAO1	1
Rap1 signaling pathway	KIT	1
Rap1 signaling pathway	ITGB3	1
Rap1 signaling pathway	EVL	1
Rap1 signaling pathway	HGF	1
Rap1 signaling pathway	PRKD1	1
Rap1 signaling pathway	TEK	1
Rap1 signaling pathway	FGFR1	1
Rap1 signaling pathway	VEGFC	1
Rap1 signaling pathway	MRAS	1
Rap1 signaling pathway	ADCY1	1
Rap1 signaling pathway	ADCY4	1
Rap1 signaling pathway	ADCY5	1
Rap1 signaling pathway	FLT4	1
Rap1 signaling pathway	ENAH	1
Hippo signaling pathway	SNAI2	1
Hippo signaling pathway	GLI2	1
Hippo signaling pathway	BMP6	1
Hippo signaling pathway	BMP8A	1
Hippo signaling pathway	SERPINE1	1
Hippo signaling pathway	FRMD6	1
Hippo signaling pathway	WNT5A	1
Hippo signaling pathway	FZD1	1
Hippo signaling pathway	FZD2	1
Hippo signaling pathway	FZD4	1
Hippo signaling pathway	FZD8	1
Hippo signaling pathway	WWTR1	1
Hippo signaling pathway	ID1	1
Hippo signaling pathway	PARD6G	1
Hippo signaling pathway	FGF1	1
Hippo signaling pathway	SMAD7	1
Hippo signaling pathway	TGFB2	1
Hippo signaling pathway	TGFB3	1
Hippo signaling pathway	TGFBR1	1
Hippo signaling pathway	LATS2	1
Hippo signaling pathway	LEF1	1
Apelin signaling pathway	APLNR	1
Apelin signaling pathway	GNAI1	1
Apelin signaling pathway	AKT3	1
Apelin signaling pathway	RYR2	1
Apelin signaling pathway	RYR3	1
Apelin signaling pathway	GNB4	1
Apelin signaling pathway	GNG7	1
Apelin signaling pathway	PRKACA	1
Apelin signaling pathway	ACTA2	1
Apelin signaling pathway	ITPR1	1
Apelin signaling pathway	SLC8A1	1
Apelin signaling pathway	MYLK	1
Apelin signaling pathway	MYLK4	1
Apelin signaling pathway	MRAS	1
Apelin signaling pathway	ADCY1	1
Apelin signaling pathway	ADCY4	1
Apelin signaling pathway	ADCY5	1
Apelin signaling pathway	MEF2C	1
Calcium signaling pathway	PDGFA	1
Calcium signaling pathway	PDGFB	1
Calcium signaling pathway	PDGFC	1
Calcium signaling pathway	PDGFD	1
Calcium signaling pathway	PDGFRA	1
Calcium signaling pathway	PDGFRB	1
Calcium signaling pathway	KDR	1
Calcium signaling pathway	CACNA1H	1
Calcium signaling pathway	SLC25A6	1
Calcium signaling pathway	PTGER3	1
Calcium signaling pathway	NOS3	1
Calcium signaling pathway	CAMK4	1
Calcium signaling pathway	EDNRA	1
Calcium signaling pathway	TBXA2R	1
Calcium signaling pathway	ITPR1	1
Calcium signaling pathway	FGF1	1
Calcium signaling pathway	F2R	1
Calcium signaling pathway	FGFR1	1
Calcium signaling pathway	MYLK	1
Calcium signaling pathway	VEGFC	1
Calcium signaling pathway	FLT1	1
Calcium signaling pathway	FLT4	1
Calcium signaling pathway	BDKRB1	1
Calcium signaling pathway	BDKRB2	1
Calcium signaling pathway	PDE1B	1
Calcium signaling pathway	PDGFRB	1
Calcium signaling pathway	CACNA1C	1
Calcium signaling pathway	CACNA1H	1
Calcium signaling pathway	PLCD4	1
Calcium signaling pathway	PTGER3	1
Calcium signaling pathway	ATP2B4	1
Calcium signaling pathway	GNAL	1
Calcium signaling pathway	RYR2	1
Calcium signaling pathway	RYR3	1
Calcium signaling pathway	EDNRB	1
Calcium signaling pathway	PRKACA	1
Calcium signaling pathway	HGF	1
Calcium signaling pathway	ITPR1	1
Calcium signaling pathway	PHKG1	1
Calcium signaling pathway	SLC8A1	1
Calcium signaling pathway	FGFR1	1
Calcium signaling pathway	RET	1
Calcium signaling pathway	MYLK	1
Calcium signaling pathway	MYLK4	1
Calcium signaling pathway	VEGFC	1
Calcium signaling pathway	ADCY1	1
Calcium signaling pathway	ADCY4	1
Calcium signaling pathway	FLT4	1
Calcium signaling pathway	PDE1C	1
Calcium signaling pathway	TACR2	1
Phospholipase D signaling pathway	PDGFA	1
Phospholipase D signaling pathway	AGPAT4	1
Phospholipase D signaling pathway	PDGFB	1
Phospholipase D signaling pathway	PDGFC	1
