Ensembl_ID	TCGA-L5-A4OG-01A	TCGA-JY-A6FB-01A	TCGA-V5-A7RE-01A	TCGA-L5-A43E-01A	TCGA-LN-A49M-01A	TCGA-KH-A6WC-01A	TCGA-2H-A9GJ-01A	TCGA-L5-A893-01A	TCGA-LN-A7HV-01A	TCGA-L5-A4OH-01A	TCGA-IC-A6RF-01A	TCGA-JY-A93F-01A	TCGA-LN-A4A9-01A	TCGA-L5-A4OJ-01A	TCGA-LN-A5U7-01A
DIRAS3	0.430471949	0.288273846	0.086517793	2.191329374	0.525402854	0.498641862	1.741096127	0.794702198	0.540227344	0.41012792	0.436506564	0.148964085	0.396240042	1.144952253	0.307310585
DIS3	3.818898198	2.246596313	2.577700618	3.693888515	3.087815215	2.465922739	2.946732541	2.877673131	2.253602787	3.050434009	3.165526786	3.274333348	2.733303246	3.09754907	4.14045314
DIS3L	2.349005814	2.98964725	2.131829385	2.515743807	2.078958152	2.002005781	1.973711345	2.491948557	2.994674983	2.594709405	2.326542081	1.540108537	2.272691433	2.554478542	2.637177259
DIS3L2	1.955965876	1.986516789	2.465134525	1.598583548	0.992174181	1.767916537	1.744291108	1.70973673	1.454344602	2.328497767	2.08423399	1.920862416	1.769727709	1.876919276	1.854247689
DISC1	0.294509283	0.397115005	0.124008904	0.384748574	0.391184303	0.273714058	0.173830875	0.58110717	0.245084798	0.316082841	0.460793664	0.070232568	0.251769495	0.254290851	0.176934596
DISP1	0.817935423	1.531256758	1.865549449	1.140609155	0.562798158	1.169444316	1.098603156	2.314231626	1.253857374	1.693638939	0.448721814	0.128349519	0.665041462	2.472386849	0.493857946
DISP2	0.400085674	0.871820627	0.690470651	0.849187759	0.142275688	0.103889361	1.060996702	1.413943379	0.135362565	0.489223153	0.079265232	0.118035222	0.083339303	0.648860605	0.139378279
DIXDC1	1.368457111	1.332300303	0.884019582	1.01727248	0.932958112	0.710562777	0.985165754	1.385791099	1.183214376	1.561099346	0.740216435	0.475179915	1.639448197	1.946093586	1.029018047
DKC1	3.987659032	4.035015936	4.818624281	5.153248317	5.554299374	2.817482391	4.190230117	3.770644009	4.43793904	4.906089397	4.16063658	4.372460034	3.102169097	4.579468965	4.502883364
DKK1	1.68177057	2.59085519	4.443360598	0.049714761	1.72616756	3.08213909	4.174888004	1.232124151	0.25044412	5.097012901	5.33215949	0.651439507	1.729007815	0.129575604	2.207776579
DKK3	3.242705669	4.704555886	2.908882578	2.368344446	3.138948504	2.650187487	3.623177768	2.545523462	5.448555141	2.344551068	2.686170729	2.022479946	4.562426401	2.611754201	4.800615848
DKKL1	0.09497333	0.227346137	0.093249922	0.037690305	0.545776839	0.022483371	0.023459048	0.452892176	0.218553645	0.301690374	0.08898167	0.095653876	0.42877095	0.035679482	0.176021766
DLAT	4.315539997	3.404695649	3.428719256	3.156958349	2.925696606	3.363961855	3.063037446	3.510451141	3.425569104	4.519766326	3.731685903	3.580946784	2.711645721	3.84478372	3.050579939
DLC1	1.572930811	1.878883541	1.199243531	2.604836606	1.219250633	0.455995938	1.389914146	1.605541381	0.958533685	1.583089755	0.636046931	0.588714264	1.511674277	1.086168385	0.716743416
DLD	4.423756909	3.982701034	3.436435847	3.918983705	3.781897553	3.356915929	3.882373585	3.960151242	4.005118203	4.855287768	3.761652094	3.6362748	3.092857242	4.468375818	4.602988317
DLEC1	0.18235021	0.145571902	0.142523901	0.380140519	0.089057127	0.071644325	0.392979419	0.115141197	0.023072904	0.134304696	0.104665975	0.041482034	0.175517424	0.169041821	0.139666161
DLEU7	0.558898882	0.359584927	0.279128049	0.469174438	0.239743548	0.057689299	0.332013856	0.372665504	0.243469396	0.580832617	0.071552088	0.108714997	0.734525066	0.259168454	0.695300617
DLG1	2.994933163	3.181752067	2.923619465	4.134159893	3.696091146	4.477564848	3.781185416	3.562197426	3.728977125	3.169368094	3.145191706	3.72037608	4.042387419	3.494123126	4.97072911
DLG2	0.0499382	0.035340032	0.038836023	0.029744287	0.022175055	0.98693885	0.032910616	0.210482457	0.039628979	0.090368523	0.037026375	0.010227096	0.185526709	0.016309249	0.035558327
DLG3	2.883389172	2.691883626	3.510963349	3.305092885	1.962229805	2.454249197	2.104581277	3.246584833	2.287038085	3.10492532	3.365456321	2.235718035	1.196209715	3.208033066	1.695652412
DLG4	0.979913532	1.060006206	0.319957293	0.466105442	0.966543769	0.642558208	0.785086279	1.174364901	0.52013116	0.770685063	0.75314254	0.346423759	1.392326055	0.579639075	0.475198804
DLG5	3.245905232	3.586190965	3.341878731	2.95365279	2.392685105	3.05487413	3.120615114	3.655989634	3.480667815	4.044970806	4.909622804	3.436437624	3.452105053	2.914670034	3.614432126
DLGAP3	0.097601033	0.190397069	0.039271936	0.108076409	1.764477773	0.100471821	1.628898418	0.251339942	0.387309426	0.274680487	0.257897081	0.119475891	0.793412111	0.14306733	0.657781118
DLGAP4	4.379478476	3.348040102	3.543776753	3.403499535	3.815832706	2.781796179	3.21225041	3.45651059	3.669273657	5.519159347	4.081447423	3.900105216	4.018556372	3.72653034	3.914383303
DLGAP5	2.706609979	3.06253592	4.09911105	2.309814154	3.218593532	1.650825716	3.195516194	3.025660181	3.04366894	2.902706803	2.759074788	4.433781795	2.78114821	3.559603297	4.278383539
DLK2	0.733326882	2.25044148	1.465438044	1.217816809	2.364002828	2.257534678	1.225852719	1.346702027	0.859902383	1.731633362	2.8858059	2.027765893	1.565506766	0.74523322	1.843389965
DLL1	2.632701211	2.104543427	0.911283487	1.779658681	2.553382589	2.921454605	1.637945258	3.335476711	1.267507377	2.043255771	1.563458923	1.625011261	3.219940871	1.652257446	3.058692757
DLL4	2.336105391	3.180109632	1.162952489	1.542016455	1.751147574	0.650481098	2.010244902	1.428823382	1.30854256	1.414690622	0.996308669	0.75901631	1.430293212	1.750807963	1.072293646
DLST	4.02535193	3.961957469	4.020150842	4.484764064	3.868116877	3.580033963	4.604805811	4.45770012	3.63459778	4.421213444	4.191555506	4.580900833	4.364261501	4.368078817	4.558812226
DLX1	0.034881945	0.071975181	0.009591778	0.025212007	1.041259543	0.017997502	0.014107701	0.2027377	0.937416274	0.02816716	0.236294362	0.504600653	0.648040382	0.047334591	1.146681786
DMAP1	1.782260383	1.5686689	2.21862307	2.507197943	2.284032378	1.999273052	2.158642368	3.077543688	2.62894509	2.660902231	2.228161803	1.558073873	3.021880829	2.515907608	1.865962968
DMC1	0.293589517	0.528329216	0.673706208	0.051830265	0.753304768	0.176619698	0.295938141	0.314868663	0.761350237	0.261469695	0.037558769	0.074203182	0.516466389	0.119699369	1.033854016
DMD	0.41353518	1.415746811	1.219778226	0.219050106	0.167320654	0.509937881	0.532543981	0.747973609	0.861105365	1.185747154	0.440806946	1.305901364	1.963393445	0.40809831	0.109529106
DMKN	2.929300324	1.71645172	0.248997263	0.899818149	5.822929258	5.704036044	2.112250899	2.801065476	0.453310191	2.327253393	6.160887789	6.429162501	3.950367985	2.05883679	2.204922473
DMPK	1.550606267	2.650692823	1.817234313	2.092665375	2.525560247	3.074350275	2.846163359	2.94117439	3.208406974	1.786863586	2.818506672	2.283377888	3.52550515	1.825826959	2.577765341
DMTF1	2.971213097	2.160770436	2.29208007	3.341182516	2.63643384	1.978624382	2.482392935	2.777434839	2.72909896	3.843777192	2.448273302	2.320267692	4.03083185	2.482303372	3.245852145
DMTN	3.976767295	3.585532236	3.191368169	3.767306633	2.425544441	2.60500573	3.511453913	2.980856172	4.566754553	3.047893041	2.653891947	1.190699225	2.399640263	3.187946403	2.299188066
DMWD	2.882226962	3.153450031	3.149047202	2.415639769	3.299733029	2.625025386	3.524915544	3.23340416	3.322147768	3.170882262	3.407655028	2.957311409	3.483074411	2.814912958	3.491012601
DMXL1	2.214161866	1.540727212	1.87564653	1.870759193	1.819576828	2.834431042	3.034880172	2.586100806	1.517871646	2.039231315	2.310425744	2.136497649	2.594032701	2.482329253	2.395814352
DMXL2	2.697470957	1.938060773	2.697389707	1.863307956	1.665127441	1.017645299	3.095673592	2.036441453	1.4498915	2.38974103	1.236119062	0.927941707	2.925844219	2.563938012	1.374516485
DNA2	1.697242615	2.138169298	2.394168882	1.516988409	2.106337082	0.765661496	1.75042599	2.1691799	1.94748565	3.153488923	1.779278884	1.580214782	1.682299957	1.432277122	1.797830587
DNAAF1	0.286527558	0.027470653	0.026872192	0.056236235	0.039619939	0.012704592	0.077778989	0.08540459	0.062311376	0.078019631	0.095814697	0.126858787	0.030908676	0.119253582	0.060720282
DNAAF2	1.841372417	2.283062396	2.691792216	3.075640327	2.702025109	1.665545139	2.700595915	2.439558197	2.058515486	2.579329887	2.586727195	3.46261134	2.568457278	2.99264365	2.910516725
DNAAF3	0.104697034	0.342658686	0.137121096	0.092701776	1.021730367	0.281469182	0.309599851	0.213236184	0.560654161	0.428843203	0.546894812	2.045570044	0.402253954	0.405973266	0.075926885
DNAAF5	3.800055558	3.563888184	3.895664964	3.255274927	2.524024004	2.593744055	3.251302597	3.37234961	3.81014629	4.711098757	3.106372331	3.563790341	2.112722424	3.324762013	3.50864972
DNAH1	0.902502312	0.828358055	0.473561982	1.638784098	0.541384309	0.761786246	1.939558149	1.249687182	0.360917929	1.293495187	0.525780302	0.064028358	1.738307214	0.891667207	0.437794871
DNAH10	0.062942213	0.09169546	0.045567952	0.18748045	0.060421221	0.037137758	0.3399619	0.07126586	0.045664012	0.050634423	0.201752777	0.013516121	0.118603293	0.033283067	0.043598716
DNAH10OS	0.143449913	0.14261097	0.101089536	0.163767824	0.17228215	0.268893988	0.070248764	0.500684211	0.130706366	0.121484818	0.274741793	0.036396024	0.291670236	0.210721549	0.154257281
DNAH11	0.077661864	0.055150937	0.037983289	0.089029938	0.045208256	0.15393204	0.019309169	0.155575226	0.571825683	0.176347793	0.077508993	0.024308359	0.071171655	0.023992177	0.20322518
DNAH12	0.236627369	0.051900428	0.248906629	0.07106767	0.004702463	0.032060802	0.035988337	0.062746483	0.009706307	0.02990324	0.007556168	0.001554044	0.074950193	0.04179633	0.008459031
DNAH14	0.030269044	0.00637972	0.024798651	0.041881812	0.02439945	0.102201014	0.541487124	0.030684566	0.447087828	0.05259016	0.007640167	0.014599852	0.833009911	0.018639222	0.076373759
DNAH17	0.492966995	0.140349983	0.261034349	0.19716897	2.529527451	0.188537548	0.495326193	0.201285354	2.294386039	0.298067566	3.52957896	1.616346212	2.742679409	0.117412173	3.578345291
DNAH2	1.206252339	0.322345	1.659523246	0.034129994	0.075981744	0.029476582	3.768874866	0.326389512	0.049172955	0.169028831	0.044067692	0.016673896	0.15251892	0.42494635	0.110506176
DNAH3	0.081992979	0.34864664	0.3510692	0.159869736	0.181408343	0.091111185	0.761823664	0.214565137	0.077120647	1.002079525	0.175937056	0.23619825	0.202848474	0.372126484	0.199558266
DNAH5	0.058015918	0.303165263	0.089027458	0.157065452	0.068557408	0.022925423	0.054535895	0.339731548	0.212443509	0.095084242	0.072422556	0.338988241	0.274674319	0.195438893	0.09723556
DNAH6	0.0459577	1.256120782	0.100554839	0.18689346	0.009224118	0.021880699	0.285555348	0.257672049	0.004775485	0.313021987	0.007422877	0.001526574	0.012540452	0.391005972	0.088877467
DNAH7	0.039801848	0.072385148	0.072401988	0.042959884	0.005852588	0.009285054	0.084187635	0.111046826	0.022061159	0.155076661	0.007057224	0.090964358	0.051522757	0.055037512	0.040912168
DNAJA1	5.638407892	5.13049166	6.154940655	5.98841608	4.817161071	4.078864344	5.399588515	5.195244345	4.694172775	6.584892948	5.062499486	5.015470737	5.431646595	5.344279644	5.243035036
DNAJA2	4.234801278	3.564819129	3.905230056	3.89164504	4.141729385	3.664956036	3.62934528	3.422662106	3.077715977	4.122737284	3.987918202	3.943846141	3.591881338	3.1264844	3.610433528
DNAJA3	2.96877248	3.609266346	4.141745006	3.524542327	2.986338547	2.468635787	2.12548262	2.869483035	3.273628401	3.171678995	3.503989365	3.209028171	3.262319778	3.228987174	3.260937213
DNAJA4	2.982523431	3.556040729	3.520917088	3.771648126	3.458568449	2.622446832	3.153224766	2.809475881	3.021880611	2.864667064	2.136475923	0.22298529	3.317680926	3.003828111	2.623480167
DNAJB1	6.349800012	5.999144276	6.246039845	4.870307798	6.04990565	7.152983642	4.578984721	5.544569391	5.931865425	4.713457342	6.185030883	6.791182336	6.562840639	4.757674645	7.001446414
DNAJB11	3.558549379	3.627025648	4.19904815	5.053451742	3.908883108	2.131264187	4.271113824	3.289683515	3.701069661	3.571048485	3.276489587	2.7492924	3.205544558	3.906805311	3.901164656
DNAJB12	3.009306833	3.217394374	2.879560316	3.195722213	2.307219145	2.816071499	3.55694581	3.260971434	3.355855762	3.652499613	4.050630334	2.933239077	3.078963393	2.597232476	2.707006439
DNAJB14	2.272848809	2.082610032	1.546339584	2.45413223	1.670430186	1.75933158	2.12179669	2.028241478	1.550365833	2.462899208	2.154553605	1.976834851	2.9660012	2.41216182	2.397474658
DNAJB2	2.97683158	2.657270516	3.286443348	2.83697659	2.747948042	3.104053604	2.818202323	2.865905879	3.41244769	3.453669127	2.928764603	2.823102581	3.773033159	3.093023642	2.812126728
DNAJB4	2.205010919	1.929052304	1.675865054	1.646012227	3.545669618	2.69068565	1.639055188	2.347552805	2.861872752	1.908680585	1.324753505	2.01191015	3.37055027	2.634374814	4.267726597
DNAJB5	1.0126433	0.727795275	0.327229468	0.809603168	2.158716819	0.93322775	0.869764867	1.342110017	1.265782617	0.514251348	3.146239462	2.984483004	1.366977224	0.733260882	2.021197548
DNAJB6	2.827790619	2.416233409	3.27865634	2.483651524	3.974371093	3.03951563	2.253462112	2.378324965	3.354450677	3.128934694	2.620679875	3.081425206	3.521881201	2.182174013	2.547669761
DNAJB9	3.822151765	2.536935784	2.64242336	3.616873593	2.512295597	2.356446485	3.076848902	2.874803403	2.880665733	3.59557009	2.979722409	2.359043367	3.701831885	4.05857129	3.196686549
DNAJC1	3.695194406	4.028102303	3.899642246	3.638361807	3.132933157	2.517323164	4.016886144	3.810275496	3.18647475	3.749601557	3.495764065	2.963811076	2.607563284	4.608731268	2.829627039
DNAJC10	3.719850786	3.098756055	3.053084811	2.832080582	2.27999866	1.292369329	3.765168938	2.582847556	1.87584387	3.223397336	2.223039342	1.923646264	1.798596401	3.526533302	3.315271572
DNAJC11	2.610384882	2.905514561	2.566836921	3.131792344	2.982261704	2.133596292	3.145698112	3.353941905	2.059198803	3.90771899	2.464386132	2.66629986	1.930484031	3.142088016	2.342572022
DNAJC12	2.237845069	1.432352479	0.568450186	0.306874126	0.64804435	0.083389305	1.78204345	1.973556437	0.435191354	0.40100237	0.046654353	0.075825978	0.538982305	3.717427847	0.634206468
DNAJC13	3.293684631	3.510315661	3.334490583	2.905173649	2.853547035	3.096295917	3.698269385	3.175065818	3.414885082	3.166858092	3.56228651	2.802416629	3.716593892	3.378347142	4.502397923
DNAJC14	2.583059229	2.533035833	2.955071926	2.307490255	2.167875538	1.61831262	2.701483614	2.356421512	2.635755894	2.116832093	2.214378821	2.235201115	1.582640474	2.571586686	2.703727488
DNAJC15	3.26343612	2.930985852	3.713326712	2.304955163	1.759622678	1.387608965	2.577530529	3.428357993	2.356989212	2.106380096	2.71671327	2.883223107	1.914811141	2.658019838	2.365097169
DNAJC16	2.15168564	2.363682376	2.143286809	2.658544735	2.601147024	2.001455258	2.87043929	2.627016829	2.404424514	2.998905846	1.808728016	2.130957365	2.428508401	2.785082102	1.885410004
DNAJC17	0.92593883	1.420868612	1.148197014	1.326410741	1.240939403	1.368678889	1.50086006	1.494162103	1.6455832	0.981244187	1.491943373	1.6499464	1.333256835	1.694133573	0.866664099
DNAJC18	0.698293916	0.552070295	0.51757351	0.646425652	0.74864687	0.601477143	0.959981289	1.322019503	0.692341214	0.429742356	0.97873503	0.488378197	0.665488153	0.676761425	1.322778627
DNAJC19	2.420963331	2.720462997	3.25684537	3.271957685	2.732744456	2.144141238	2.576724582	2.350391865	3.690161685	2.286713374	2.816751351	2.688409314	2.996313682	2.790832009	3.315639452
DNAJC2	3.414513785	3.053054325	2.935219376	3.733500105	2.988446073	1.374274525	2.927175929	2.211987014	2.641597992	3.967131978	2.38642235	2.9493944	2.704996359	2.847854648	3.401022631
DNAJC21	2.411006522	2.381205481	2.614337101	2.42092501	3.0584765	2.495663547	1.9539226	2.483125162	3.08824534	3.17108732	2.465789154	2.757195277	2.508189069	2.644236064	3.108478697
DNAJC22	2.531587116	3.011842907	1.907865592	2.558883447	0.078985547	0.016438896	3.789674026	2.581167698	0.688519035	1.645694838	1.134395706	0.068445809	0.557148026	3.117772135	0.111296893
DNAJC24	1.073052735	0.975011221	0.816657305	1.245014089	0.813795359	0.630953034	0.890144009	0.91358589	1.146536512	1.479049132	0.980614146	0.95633609	1.262200813	1.231184864	1.345342053
DNAJC25	2.465920132	2.385029222	1.882747497	2.19347056	1.922380871	1.301081082	1.704813578	1.738327745	1.997022584	2.480066032	1.650114434	2.574634796	2.597199189	2.67043587	1.925545463
DNAJC27	1.158387322	1.112154753	0.823514687	1.078366772	0.810068323	0.851037168	1.122691918	1.087144814	0.89564948	1.050403526	1.160526448	0.832686244	1.239141144	1.054931389	0.975039573
DNAJC28	0.365310224	0.401892795	0.350389085	0.552914788	0.695457969	0.661739289	0.424700066	0.718568038	0.537003823	0.537896293	0.502107513	0.229948699	0.391898136	0.609069124	0.543927577
DNAJC3	4.913003847	3.782436973	4.088002769	5.306419968	3.791874923	3.064385456	4.351509624	4.325925585	2.784584507	4.652228768	3.560931369	2.93657536	3.459339207	4.203714685	4.713383946
DNAJC30	2.45224276	2.819866221	2.364950292	2.96836955	2.645795632	1.923470584	2.662186785	2.555418216	2.856932031	3.387416964	2.515387245	2.310668885	2.20422429	2.791378783	2.561967806
DNAJC4	2.673510922	3.174850068	2.968823102	3.486534925	3.168363894	3.172407969	3.06706467	3.46055437	3.720801367	2.797815809	3.738436052	2.505648736	3.320284737	3.168861286	3.052819956
DNAJC5	5.288676134	4.595704533	4.686245126	5.160695522	4.643286322	5.476517159	4.610310258	4.829359861	4.997382563	4.783600826	4.727581899	5.241575628	4.211313079	4.410845408	4.96569054
DNAJC6	1.12867082	0.17516305	0.470692288	0.08565774	0.095663766	0.071964834	0.66494906	0.680981657	0.882899424	1.25011241	0.775465919	0.049597447	0.177445545	0.611474916	0.136754535
DNAJC7	2.783126583	3.409814524	3.414973471	3.019246638	2.959106769	2.622259023	3.126793777	2.627364083	2.65533033	2.430888091	2.667030322	3.165767173	2.079888461	2.567586809	2.497890612
DNAJC8	4.075434232	4.374828874	3.86497264	4.747458283	4.955727302	3.643089104	4.138775159	4.62084908	4.892765613	4.637858527	4.340716446	4.447046264	4.025945995	4.738627016	4.042382082
DNAJC9	1.953487941	2.816260102	2.631858712	1.847056231	1.71822087	1.796830647	2.150470073	2.562553783	3.01448941	2.559441623	3.119000621	2.176273066	1.922696818	1.830258946	2.563645414
DNAL1	1.017944993	0.998443829	1.498520208	1.350296115	0.904602629	0.610627371	1.133767153	1.327089623	0.772121872	1.050322554	0.476154199	1.013939497	1.229642837	1.466652294	1.693513978
DNAL4	1.725698957	2.74867076	2.238300623	2.396433857	1.71106996	2.113943478	1.271655292	2.368837428	2.850794221	2.055539106	1.988833414	1.630426933	2.626259907	2.434556295	2.844353361
DNALI1	0.258616217	0.163906229	0.973249996	0.183916369	0.149806935	0.174715825	2.696545045	2.336453776	0.124988268	0.178517485	0.879371501	0.463489827	0.385569035	1.900663843	0.06702126
DNASE1	1.213023734	1.202782574	1.493046106	1.192922203	0.635515461	1.493479874	1.797268032	1.452740886	0.540553811	1.615667047	1.514568404	0.760926481	2.002416525	1.948320875	1.361806872
DNASE1L1	2.106012453	2.314962285	1.908703884	2.937458525	3.445365053	2.248053512	2.762295765	2.878144903	2.622218919	2.830064204	3.47166914	2.902006171	1.878574733	2.380577545	2.253042042
DNASE1L2	0.382491264	0.308802361	0.334820013	0.612381094	0.193099333	0.094889105	0.265384154	0.296349543	0.292366715	0.085443763	1.864921931	0.055371385	1.72783129	0.793816477	0.133007018
DNASE1L3	2.052608462	0.056037603	0.198111107	0.482535859	0.658316321	2.612859182	0.141055934	1.610622843	1.024532102	0.274229207	0.962378835	0.508604903	0.706439914	0.42734253	1.203937466
DNASE2	4.342249518	5.096056528	4.781952567	4.030350835	4.404190116	2.977714251	4.832378398	4.305825306	5.128666435	4.004253252	4.079209592	3.270207455	3.779709628	5.068691372	4.386727263
DNER	0.057169859	0.018169945	0.017772857	0.014108963	0.234164584	0.113221887	0.051747664	0.064387357	0.059011233	0.295917792	3.96734413	0.518708885	0.803456333	0.069815751	2.443119822
DNHD1	0.647764242	1.008983176	0.219864173	0.965603962	1.049852623	0.426207005	1.135532086	0.66975226	1.276269233	1.55399141	0.937405299	0.32865104	1.306018133	0.497616479	1.111131146
DNM1	1.490879968	0.959931412	0.604800589	0.69377324	2.24781402	0.729893767	0.99501827	1.318632192	1.485691907	1.836848275	1.740060588	0.873794701	2.2413816	0.616526041	3.041956387
DNM1L	4.081100489	4.00081306	4.052964189	3.3419098	4.245627792	2.963524639	3.267607664	3.316619358	4.228636989	3.554911342	3.780821736	4.156235978	4.446913627	3.915826065	4.413266546
DNM2	4.257226925	5.023193671	5.219446804	4.808329281	4.007586876	3.99700634	5.278770725	5.22518306	4.38886267	4.840241126	4.0915186	3.620413569	3.781577467	5.061110749	4.297543803
DNM3	0.146730744	0.586741697	0.202498046	0.278311227	0.795330842	0.188730153	2.426879598	1.115996678	0.257151633	0.32187777	0.088934063	0.014502583	0.6033261	1.433316911	0.308268916
DNMBP	2.89797671	3.854067586	3.273196651	4.133745689	2.38643427	2.504800197	4.081607169	3.875689221	1.793583809	3.58012189	3.961218916	3.47396811	2.954969548	3.910162113	3.147473941
DNMT1	3.778115636	3.938425399	4.409324271	2.859387509	4.204380171	2.393403215	3.014466787	3.986554676	4.385640757	4.251775863	3.55301897	2.970785189	3.403028159	3.883884495	5.003721213
DNMT3A	2.03616591	1.631050856	2.195691634	1.822229799	1.537497346	1.506063831	1.836905716	2.101087762	1.621210611	2.031512255	2.550670071	1.181203326	1.706263333	1.522945619	2.051450152
DNMT3B	2.157452503	1.466679732	2.716526376	1.40349493	2.636598736	0.611484182	1.271909678	1.133675644	1.862160042	1.944480791	0.251825961	2.210328773	1.940881987	0.520615885	2.291250581
DNPEP	4.265934247	4.02814579	4.974227314	3.946550162	2.732083536	2.816507025	3.825999275	3.570787301	3.24545536	4.9054003	4.094467569	3.173291048	3.395091722	4.033008118	3.913915345
DNPH1	4.042371425	7.667416835	4.748487598	4.389186572	3.450700436	3.025223925	4.910559449	4.490554265	3.895709165	4.018549141	3.777706959	4.313652948	3.87369605	4.921956346	2.835542543
DNTTIP1	4.628601267	3.862692178	4.432066848	3.844956933	3.754680878	2.611690081	4.331288925	3.912786684	3.981927809	5.825763677	4.155418194	3.514076261	3.063085039	4.762531732	4.01132564
DNTTIP2	2.892802308	2.895402699	2.932858793	3.588198699	3.37248032	2.384251855	3.520438956	3.033792351	3.043060453	3.560368092	3.39612894	3.292579403	2.540311353	3.510207854	3.207985652
DOC2A	0.614139712	0.120765813	1.223984719	0.01439807	0.014522145	0.099523029	1.679318796	0.042566939	0.029867414	1.100401698	0.073728511	0.02231138	0.133623075	0.02443139	0.249949635
DOC2B	3.431054666	0.455501759	1.22233667	0.447679098	2.24862454	2.388664	1.003432337	2.460543198	2.590747927	0.759656227	3.883353653	2.955398815	0.616578734	3.066508158	2.363856241
DOCK1	3.296167431	3.69647537	2.464263131	3.278416085	2.813737902	2.790171467	3.927471095	3.126984613	2.16049431	3.420779212	4.196409764	2.590695516	3.73360915	3.737633196	3.492837553
DOCK10	1.248257845	0.743154292	0.310622564	0.713320379	0.573987762	0.737027262	0.390243821	1.512307149	0.605045997	0.475011383	1.503033904	0.374179123	1.936822753	0.541166225	1.187755385
DOCK11	1.490351689	2.44206662	2.782632391	1.319184518	2.716693144	1.030941785	1.447289131	1.932903318	2.377916132	0.996473142	2.752265269	2.418305624	2.459936959	0.908048834	3.289453855
DOCK2	1.320198786	0.600767616	0.259144174	0.779072374	0.254997902	0.382420254	0.323972298	2.08217476	0.33423402	0.428577673	1.190124878	0.153293198	1.5952566	0.578095938	0.564920905
DOCK3	0.461520605	0.211731035	0.745797842	0.088564119	0.095002842	1.859002313	0.20392825	0.573307337	0.081343146	0.583704413	0.274620898	0.375647232	0.521127728	0.629829645	0.123223578
DOCK4	1.769783223	1.532602996	1.464164075	0.880164586	2.131875509	0.875090572	0.884671229	1.127441724	0.661510721	0.84535471	1.645492935	2.065130743	2.219289186	1.767607867	1.352037318
DOCK5	2.393355444	2.760659398	2.484702583	3.645774732	1.788915769	0.995308371	2.679977857	2.577092858	1.912781634	2.936921664	2.38084353	2.025780424	2.101541812	2.041170577	2.333077502
DOCK6	3.768301693	3.777238847	3.684662042	3.372192285	3.117403519	2.954596857	3.212815579	3.286208435	2.715782578	4.383760096	3.547514416	3.496322248	3.143323224	3.886140706	3.574964124
DOCK7	2.590693434	3.454076023	2.163861709	2.397193191	1.714695871	1.233573814	2.441802978	2.53851095	2.133875085	2.818898771	2.351805291	1.822825898	4.456540479	2.010342147	2.432550011
DOCK8	1.755820342	0.728306947	0.554699759	1.070230562	0.722531752	1.261568012	1.489521919	2.203620478	0.864993547	0.568121929	1.433021871	0.557027862	2.253541478	0.77208188	0.779745346
DOCK9	3.483070314	2.6815674	2.577587202	2.357695846	3.342277593	4.784448058	2.056371495	3.185416784	1.940854291	2.647982731	4.035052653	3.654027107	3.22484994	2.144039982	4.053748438
DOHH	2.72192908	3.337642903	2.833941006	2.566830523	3.03388446	2.141670433	2.794948806	2.872925074	3.872504214	2.754058699	2.813666382	3.117379339	2.161555686	3.215080477	2.62462627
DOK1	2.207652492	2.650587014	2.571234799	2.246654171	0.659236494	0.424853434	1.765451102	1.977007785	0.974539162	2.124454904	1.089451204	0.23096617	1.52302997	2.10953384	1.252525602
DOK2	1.711566545	0.893089656	0.613016182	0.755279983	0.598896328	0.963206044	0.223923455	1.854683375	1.169735886	0.728294593	1.329636624	0.506512628	2.644371308	0.638806688	1.233746272
DOK3	1.843163101	1.243734289	0.748799474	1.297034181	1.427663233	0.730515559	1.112713605	2.090729937	1.319822929	1.016573406	2.263189877	0.501289296	2.163034601	1.125141191	1.190002074
DOK4	3.795528879	4.055441645	3.779936058	4.229025696	2.822950361	3.421184219	4.189456608	4.746106739	1.915766542	4.775494689	2.001478676	1.786716023	2.284557998	3.588298433	2.278715293
DOK5	0.151489086	0.353558283	0.085256331	0.035273852	0.292418058	0.068281632	0.052125005	0.142026829	0.344346903	0.279219722	0.099481472	0.077165699	0.439344212	0.213151946	0.10138857
DOK6	0.083121862	0.545542509	0.076640045	0.126981124	0.210364422	0.034843224	0.113230927	0.131803342	0.093325214	0.137273502	0.126432475	0.085378914	0.448359179	0.140942659	0.060420004
DOK7	0.561680111	1.436892418	0.497133791	0.977422952	0.011587004	0.056373205	0.321409094	0.83162798	0.093145852	0.224779616	0.480132346	0.913629672	0.121420142	0.195606376	0.103930932
DOLK	3.176889876	4.430517864	3.620055096	3.508458522	3.287854819	2.673537118	3.198850556	3.25738011	4.14574172	3.412366834	3.382415029	2.702812445	2.07644249	3.641824848	3.307476722
DOLPP1	3.038100211	3.987096969	3.472630755	2.772904028	3.181058679	3.036231614	3.036404563	3.825406398	3.816544375	3.503740619	3.088527026	2.931457424	2.454575485	3.756396765	3.385605325
DONSON	2.328874101	3.057524658	2.621661236	1.893491168	2.80076551	1.513537941	2.28365392	2.952517876	3.747092506	2.632936926	1.966095476	2.116203251	2.760531774	2.664178574	3.148875244
DOT1L	3.950939842	3.971396227	3.38520777	3.575600249	3.090655012	2.91648202	3.731222257	3.999260415	2.771907385	3.652523342	3.469694594	3.699987842	3.273431165	3.617995482	3.634387833
