Ensembl_ID	TCGA-BR-8680-01A	TCGA-IN-A7NR-01A	TCGA-CG-4440-01A	TCGA-R5-A7ZI-01A	TCGA-CG-4462-01A	TCGA-R5-A7O7-01A	TCGA-VQ-A8DZ-01A	TCGA-CG-5719-01A	TCGA-VQ-A8PQ-01A	TCGA-IN-7808-01A	TCGA-D7-A748-01A	TCGA-CG-4460-01A	TCGA-CG-4306-01A	TCGA-VQ-A8PJ-01A	TCGA-R5-A7ZF-01A	TCGA-CG-5724-01A	TCGA-CG-4465-01A	TCGA-BR-7957-01A	TCGA-BR-7196-01A	TCGA-CG-4301-01A	TCGA-CG-5722-01A	TCGA-BR-8289-01A	TCGA-CG-5716-01A	TCGA-CD-8529-01A
TTC7B	0.650117869	0.410537473	0.808761174	0.654898323	1.012044169	0.69374796	0.528146369	0.799933186	0.805848138	0.456180794	0.715220688	0.865042028	0.394593829	0.44403828	1.520531364	0.517414049	0.450665359	1.133473359	1.056535568	0.781490754	0.431243951	0.996146851	0.439487639	1.008836069
TTC8	2.121686486	1.481153492	2.008137277	0.221385796	2.089400716	1.140853661	1.271031935	1.418379935	1.325627938	1.080294832	1.382919377	2.078683146	2.194541824	1.259542855	2.245835522	1.589578222	1.901717127	1.762026538	1.471630283	2.053490455	1.724848624	1.835062347	1.17417271	1.816432362
TTC9	2.035901047	3.826071515	0.811981173	1.980109956	1.22880892	1.197368376	2.042672464	1.450348936	2.760676238	2.417721281	2.80790033	1.299706439	0.876748348	1.876616708	2.673507731	2.576300982	1.248968536	0.930797287	1.876739004	2.040170116	1.476601396	1.66374873	2.645694344	1.703669015
TTC9B	0.126727538	0.134471524	0.038039403	0.394468625	0.049930503	0.244716416	0.121910152	0.128438364	0.068581332	0.165279797	0.142288252	0.155926312	0.193798652	0.089370721	0.38424131	0.266513723	0.147443627	0.138743956	0.12563257	0.073383507	0.093986626	0.089713856	0.092731087	0.091577343
TTC9C	3.474586999	2.350153827	2.943755033	3.21570052	2.648607213	2.669835848	2.932387814	2.783822167	2.966876802	2.929975584	2.671352858	2.86020794	2.849919479	2.856895125	3.434016561	3.07298173	2.960073022	2.677293616	2.645880029	2.93909244	3.341640127	2.764824859	2.680008391	2.789321399
TTF1	2.928112	2.016428179	2.93204528	2.132246815	2.54550203	1.88489535	2.171942691	1.848831595	2.776469336	3.628186631	1.85503709	2.556073075	2.650205684	1.96577968	2.277274899	1.975746413	2.600415006	2.649881548	2.353137033	3.111808828	2.051900063	2.908783363	1.979319001	2.505497643
TTF2	2.426323887	1.552193218	2.531468915	1.888604641	1.611629633	1.624662258	1.506406395	1.253640388	1.991509164	1.637964661	0.958413721	1.90119153	2.516931562	1.825489541	2.334755289	1.874831272	2.427216281	1.760565831	1.879919679	1.481578838	1.954214196	1.687606319	1.701080463	2.046206488
TTI1	3.397649557	2.776919799	4.31152466	3.280147493	2.991481607	2.840382269	3.693903983	2.997944513	3.342637371	3.13738733	2.312835245	3.789129553	2.675027847	3.789641119	4.019751644	3.815775916	3.156678756	3.139023321	3.375610088	3.426643861	3.572854682	3.820360303	3.070178277	3.328171685
TTI2	1.346866237	1.380747821	1.84096276	2.153495058	1.829882672	1.168399121	1.759225423	1.759265473	1.746545216	1.763949183	1.572458695	2.353784117	2.03803439	2.254083183	1.470389941	1.578668166	2.06469898	2.20619153	1.880560511	1.474334894	2.485205068	1.682176216	2.018376654	1.790261863
TTK	3.379902582	1.955315049	3.533590749	2.200644861	1.190553703	2.5989353	2.633401781	0.824252924	1.110539997	1.809517733	0.944728654	3.274644594	2.394673613	2.750965379	3.405074443	2.307846604	2.950415353	2.314855166	1.850409886	1.552608144	1.95628089	3.330798047	2.000923406	1.689039223
TTL	1.546421408	1.69453403	2.596535812	1.254133691	2.265778345	1.905888075	1.453172208	1.179601947	2.152723527	1.386017259	1.155496814	2.182121205	1.872769977	1.178408557	1.971421519	1.161723654	1.649683944	2.108141856	1.764455055	1.578661787	1.417845631	1.830665776	1.451625773	1.747349414
TTLL1	1.878292813	1.405034177	1.15980948	0.487420648	2.561715697	1.289223223	0.835779148	2.217134083	1.896683227	1.993878603	1.542174814	1.104844498	1.917982734	1.302741854	0.731283008	1.348540403	1.229482193	1.904577857	2.053216151	1.728396262	1.974349843	2.592637828	1.357282856	1.919987277
TTLL10	0.065082136	0.245713623	0.056130134	0.094802122	0.059123969	0.51606595	0.082067689	0.063846158	0.408958817	0.889431742	0.140924509	0.223408799	0.052594319	0.127215154	0.14349031	0.199530626	0.030413098	0.050989245	0.192606194	0.058420678	0.270921865	0.131287194	0.273126204	0.235031576
