Ensembl_ID	TCGA-BR-8680-01A	TCGA-IN-A7NR-01A	TCGA-CG-4440-01A	TCGA-R5-A7ZI-01A	TCGA-CG-4462-01A	TCGA-R5-A7O7-01A	TCGA-VQ-A8DZ-01A	TCGA-CG-5719-01A	TCGA-VQ-A8PQ-01A	TCGA-IN-7808-01A	TCGA-D7-A748-01A	TCGA-CG-4460-01A	TCGA-CG-4306-01A	TCGA-VQ-A8PJ-01A	TCGA-R5-A7ZF-01A	TCGA-CG-5724-01A	TCGA-CG-4465-01A	TCGA-BR-7957-01A	TCGA-BR-7196-01A	TCGA-CG-4301-01A	TCGA-CG-5722-01A	TCGA-BR-8289-01A	TCGA-CG-5716-01A	TCGA-CD-8529-01A
A2M	3.924870525	6.719393809	5.432557947	5.023007339	9.141543357	6.04641949	6.236905708	7.767349649	8.038650703	5.739727121	7.433713556	7.031077118	6.163461591	5.427567211	4.560037234	4.848193324	6.845636083	8.447767131	8.866959104	7.177283023	6.800603832	6.740571311	6.533920113	7.48754518
A4GALT	1.128224041	2.208743924	2.661294762	0.690846229	3.558697178	2.788451392	2.154008113	3.410398417	2.671823248	1.895968474	2.899456815	1.798707327	1.886014411	1.399595215	3.919546365	3.818601435	1.101986244	3.463808156	3.763733362	1.487508587	2.347404766	2.993787881	2.118817064	3.364178796
AAAS	3.710585267	3.284948487	3.988751329	4.159895244	3.07420238	2.865180398	3.707653081	3.324939307	2.975283662	3.553536679	2.804030844	3.599594828	3.591234236	3.36357563	4.180506267	4.118389677	3.550740294	3.162815466	3.365413636	2.777671026	4.088666476	3.770246291	3.352786044	3.118450435
AACS	1.709428707	1.94656716	2.277706798	1.795368594	1.254390895	1.099823535	2.227991824	2.003309799	1.862148015	1.786623449	1.082617447	2.110992353	1.272257763	2.184115083	1.195072971	1.712323979	1.434267469	1.506951196	2.141811023	1.421692137	2.137751775	2.066396803	2.222891988	1.807844201
AADAT	3.319525688	1.567933686	2.07074878	1.174865959	1.612769156	1.128343221	1.316970158	0.735530299	1.531667854	0.966165048	1.054330163	2.072807237	0.552420753	1.911269932	1.988884121	0.926948777	1.477529823	1.883045135	1.51785495	1.923065429	0.898248984	1.489244382	1.479344736	1.536215776
AAGAB	4.099606045	3.453686093	3.98802329	3.631945799	3.504563339	4.901004146	4.264257363	3.757150553	3.528614576	3.606125925	3.176862777	4.881365152	4.116608776	3.901632274	3.785998767	3.405114432	4.11041104	4.133275935	3.445675092	4.13202527	3.652067513	4.054286548	4.144765524	3.541508949
AAK1	1.098043285	2.183070342	1.750844675	1.649333754	2.33117613	2.183952654	1.607321552	1.609876447	3.227870686	2.248549812	2.243355326	2.5364324	1.75516966	1.717886515	1.604634336	1.638159236	1.996437975	2.24574481	1.915696811	2.325676387	1.364505458	2.026036134	1.999435606	2.162911471
AAMDC	2.437822307	2.134631007	2.041154585	2.948456615	2.279217881	2.06824835	2.123416908	2.424055123	2.229735418	2.035035631	2.264153723	2.884617298	2.548994852	1.700597583	2.159046964	3.718340526	2.156630507	2.213535425	2.132283577	2.525870615	2.81933441	3.044893365	1.266673197	2.288352799
AAMP	4.85263239	4.39788434	5.009283755	4.900624739	3.926415117	5.33871031	4.625925967	4.95571368	4.156779738	4.310094943	4.016035419	4.740890384	4.44708843	4.93047163	4.996821524	5.263130581	4.23569992	4.898471125	4.990515634	4.170917151	5.170726356	5.180496216	5.341078608	4.905983524
AAR2	3.692293606	3.408834073	4.296064859	3.918382723	3.497303852	3.127124793	4.319282148	4.204222078	3.794651288	3.835026763	3.260797761	3.794872571	3.691579266	4.318365461	4.290667504	4.370511586	3.393460525	4.062879875	4.256009693	4.108512771	4.159482668	4.911905767	3.873720548	4.171650716
AARS2	2.991014513	2.118683557	2.566675117	1.921562085	2.085055742	2.112407359	2.880089805	2.075469622	2.661376753	2.430990865	1.350558336	2.468014628	2.23655799	2.72658913	2.460121256	2.107115028	2.226799873	2.730176734	2.717561679	2.024214222	2.416981648	3.136062828	2.564274447	2.744295682
AARSD1	1.24546484	1.018179372	1.438527773	1.072171719	0.714807198	1.174095048	1.421757249	0.667868157	1.099221599	1.265475827	0.662272129	1.203676858	0.917843365	1.038064494	1.260166234	0.74075931	0.682374158	0.67516952	0.703734166	0.95493294	0.826375586	1.283529126	0.553586851	0.979572511
AASDH	1.818422513	1.696752496	1.964989836	1.47333743	2.01468671	1.278814172	1.337369988	1.03710665	2.305001557	1.662957272	1.355602805	1.953008869	2.09578293	1.244310996	2.23370541	1.266562065	1.837985046	1.292955852	1.48814796	2.286160988	1.637620368	1.680187265	1.41961745	1.237633416
AASDHPPT	3.24819422	2.455439431	3.421259344	2.8215541	2.755246665	2.065561835	3.104535418	1.971165506	2.763941775	2.202414476	2.108060216	3.042237259	3.303325283	2.487003657	3.771152641	2.093977566	3.089316285	2.704746205	2.649143862	2.807328273	2.785390817	2.594366566	2.300529045	2.137018871
AASS	0.525616138	1.284064991	1.689299177	0.401443179	1.782215144	0.646912543	0.654583787	0.727995116	1.738683303	0.91185764	0.617904964	1.736562122	1.550511478	0.651228522	0.644164815	0.295031993	0.534348773	1.469298067	1.614536456	1.157302756	0.610264841	1.438973709	0.32374502	1.167400128
AATF	4.21180652	3.43737203	4.451955486	3.504187855	3.190361474	3.81084074	3.600753985	4.563249733	3.435290247	3.451042552	3.059269136	3.884860581	4.087455489	3.444634199	4.150506882	5.102577618	3.666627628	3.825011371	4.194790792	3.352993404	4.16727877	4.224611195	3.8649132	4.124017056
AATK	2.749208671	0.807169017	0.5433552	2.099534771	2.260567983	0.259489623	2.399302247	2.555511048	1.767032207	0.460569978	0.574956739	2.370963	1.633416608	4.953582788	1.421181504	0.957873615	2.658694429	1.817078544	1.570821719	0.54837907	3.619042112	2.369409635	1.951857233	1.918146598
ABAT	1.297588121	1.631865003	0.286812113	0.377277866	1.820666027	1.134846029	1.596725082	1.618753645	2.24190203	1.050251292	0.891704774	2.227276525	0.782126451	1.968648455	1.072490592	0.208741197	1.306126038	1.06643286	1.754597786	1.71179018	1.172429288	0.972840129	1.100503897	2.656252342
ABCA1	1.037166312	2.095463108	2.431687671	1.817490262	4.213784789	1.716113022	1.691714903	1.835621406	3.458561574	2.624566636	3.767312889	2.069988281	2.692085238	1.11821464	0.911950515	1.87126385	3.29858668	3.863222883	3.025913192	2.895543485	1.873650397	2.968890645	1.658344159	2.854780224
ABCA10	0.088107292	0.347335458	0.378121629	2.029522476	1.349594521	0.163743529	0.228954342	0.243632329	1.100335396	1.097628167	0.415493056	0.287771997	0.391524533	0.82231837	0.156357315	0.09997833	0.174102998	0.68235067	0.793618329	0.766512433	0.066113382	0.246635561	0.260864197	0.152150645
ABCA2	3.462441323	2.494121727	3.398577763	2.610074982	2.627990477	3.142491501	3.196088257	2.773651613	3.705307201	3.231829864	1.797497962	2.552324544	2.025689565	2.506957776	2.737727193	2.418909062	1.983159295	2.782539966	2.805492338	1.914204625	2.238705153	2.7935222	2.30932201	3.523918799
ABCA3	0.581078159	1.796752359	1.652976991	1.514687422	1.310071156	2.786396489	0.735218105	2.41167725	2.802670681	2.141213257	0.525019317	3.086322991	1.754850534	0.486843724	2.858442259	3.335047725	0.323271376	2.095858124	1.845585062	0.668892254	3.33639636	1.931259183	1.83249151	1.493915088
ABCA5	0.4390961	1.296965713	0.755618749	0.795144253	1.039505109	0.401419974	1.28480218	0.51387097	1.750481607	1.817728829	0.922825462	1.136585557	1.472283376	1.883028173	1.267888512	0.386223461	0.86085771	0.766917135	0.808915795	1.748075763	0.26745879	1.057699871	0.816644497	0.963569449
ABCA6	0.198214824	0.208157039	0.142624905	0.121051256	1.404372014	0.324700063	0.139197512	0.373605698	1.194832722	0.71620061	0.899459195	0.296061064	0.449101799	0.234842761	0.057684011	0.135082973	0.205833965	1.156250979	1.056507961	0.488531761	0.192791289	0.538833909	0.280995593	0.391301669
ABCA7	2.576277995	1.373759717	2.320596543	1.176503961	1.651198227	2.768199598	2.64614768	2.149091657	3.58190216	3.084199709	1.646577499	1.828662075	1.832504826	2.287374882	1.822257103	1.688699315	1.825830886	2.212601712	1.643737601	1.685660261	2.201276926	1.78823914	2.113112579	2.147396155
ABCA8	0.125934611	1.140583167	0.226196358	0.119483977	2.974837505	0.579355688	0.189611875	0.632385435	2.425179719	1.291131695	1.526518619	1.518173058	0.582467082	0.083934194	0.062135379	0.082049672	0.137007628	2.286773531	2.523334536	1.283093934	0.553272168	0.928335888	1.26699445	0.660656575
ABCA9	0.105699439	0.378972728	0.13880109	0.051900111	1.591793304	0.264638763	0.279765633	0.934362584	1.099138428	1.156793159	1.16133943	0.211996104	0.352901954	0.161110096	0.080179859	0.073128397	0.164818682	1.130911038	1.443830502	0.475880398	0.084577177	0.769470352	0.061771688	0.308211481
ABCB1	1.01225169	0.698321159	0.407092922	0.54150368	2.406330993	0.719188635	1.092129163	0.721358204	2.212654578	1.247228377	0.532058077	0.794047154	1.224275369	0.59809989	0.209442983	0.14669002	0.534581063	2.19317699	1.537662519	2.717117057	1.137028762	0.994718451	0.83530922	1.94852276
ABCB10	3.21504146	2.420711246	3.3551552	2.574164691	2.485526486	1.99112084	3.237881725	2.490728029	2.703954856	2.151182066	2.18356874	2.499561714	3.152877526	2.993755063	2.927413283	2.044821947	3.512435055	2.748194094	2.234203316	2.550687035	2.544495981	2.843171236	2.131516732	3.037820335
ABCB4	0.124983043	0.308167058	0.449216945	0.146925611	0.23668943	0.157746863	0.308336211	0.215819867	1.315778264	0.93389372	0.166556204	0.124623522	0.18986045	0.58428183	0.057068382	0.078736132	0.193903928	0.234703959	0.259436919	0.260029027	0.20698422	0.130305095	0.184391651	0.727162653
ABCB6	0.986924487	0.480890543	1.396124628	0.658853805	0.491221127	1.417105853	1.577111346	0.749959074	0.80104799	1.273111858	0.240467648	0.905391638	0.36072872	0.967216478	0.745025535	0.559763175	0.670627348	0.461522037	0.470926567	0.817023718	0.324702291	1.704868454	1.071047427	0.938692099
ABCB7	3.129680508	2.582992902	3.817537378	3.126322155	3.031304487	2.665611067	2.621389497	2.355665987	3.451959196	2.706879515	2.514371518	3.638251123	3.366833462	3.335708896	3.317398856	2.578253013	3.818130564	3.089899168	2.729477742	3.021225186	2.523766619	3.081073257	2.721138462	2.751933011
ABCB8	2.545609115	2.220717493	3.036496804	2.909793987	2.03151702	2.312893806	2.377442232	2.320221418	2.542375709	1.950125552	1.990206501	1.514859943	1.835329343	2.548303012	3.146126826	2.642580579	1.916793883	2.189567362	2.807602889	1.427645875	2.126328975	3.075340539	2.579435475	2.086649761
ABCB9	0.588827766	0.738036099	0.606514226	0.514170323	0.535314807	0.872346842	0.857257126	0.924404929	0.946699581	0.679339422	0.757028099	0.806427412	0.384169097	1.003913554	1.230466542	1.33627195	0.179800558	0.715572764	0.44802225	0.536598354	0.958284902	1.084645057	0.599044196	1.064015442
ABCC1	3.80341289	3.752111021	3.596187093	3.138937251	4.220338343	3.481383434	3.216778627	3.97651723	4.509196952	4.341267566	3.025557637	2.993159476	3.522831758	3.520731397	3.429791285	3.414535944	2.89911621	4.082007741	4.587060711	3.811941823	3.865231299	3.822307435	4.30301361	4.294285482
ABCC10	2.985642481	2.130815279	1.834398559	1.597021514	2.284866688	2.36361758	2.803486376	2.08065872	2.746957353	2.426975352	1.797456704	1.747484866	1.67669482	2.817805127	2.311907175	2.242083259	1.951079419	2.406264075	2.156160772	2.053057333	2.119348572	2.606031973	2.243176056	2.304779938
ABCC11	0.155946783	0.088356629	0.164674585	0.019860594	0.098389738	0.231791408	0.063875172	0.124718974	0.17555586	0.142564577	0.162385361	0.06729064	0.037408318	0.168576032	0.277956041	0.118717313	0.052021577	0.491866923	0.08817619	0.084030572	0.186265631	0.103089479	0.090013663	0.075771162
ABCC2	0.378422519	1.888316741	3.833752454	0.14721698	0.182674209	0.209527234	1.891934149	0.743618257	1.095168194	0.238519753	0.240965145	0.142017946	0.172298177	0.502686713	1.505569782	0.098128479	0.492241963	0.376063756	0.115085889	1.214373726	0.099868372	0.103068724	0.160421759	0.361029155
ABCC3	3.745589169	4.787898026	5.552550554	1.697053469	4.38000018	3.213301951	4.647442867	5.382527795	4.772348507	4.465317748	4.377871461	2.392972934	4.042264301	5.330740167	3.365143742	4.21955865	4.546035851	3.860948852	4.536796544	4.502736932	2.89935165	4.130213916	4.238916375	4.172069154
ABCC4	2.366492757	1.334322384	2.48736185	0.796086706	2.055166997	2.389692269	1.721472773	1.773459343	2.549904589	1.170649333	1.328241724	1.918082029	1.873542254	2.554407898	2.570347313	1.763780428	1.391803428	2.553986023	1.976550421	2.222736215	3.068034102	2.959443822	1.975105679	2.107164651
ABCC5	1.530138525	2.454028917	1.796358873	1.146824651	2.346485431	2.077126697	1.253049	1.957256643	2.401696316	1.607733358	1.641300578	3.329143519	2.199053662	2.55889494	1.497553307	1.298696976	1.631656552	2.228493757	2.240317288	3.223790223	1.525378935	2.755016934	3.205638986	1.879931452
ABCC6	0.857445333	0.627432864	0.813464895	0.38468107	0.434372731	1.088418724	1.781497338	1.058744004	0.93362528	1.077617292	0.549802314	1.025684634	0.707796599	1.829522842	0.496652449	0.201515318	0.891968732	0.78055057	0.20038503	1.252903581	0.248178608	1.117684474	0.601367846	1.374612108
ABCC9	0.334212199	0.732115807	0.944510576	0.380616764	2.862996454	0.534631685	0.661556559	1.669069481	2.482596993	0.750440628	1.872494495	0.763852642	0.897368397	0.463725026	0.355240707	0.467235903	0.897635446	4.072732266	2.949489204	1.314610407	0.642796746	1.231188733	0.670123657	1.179158708
ABCD1	3.568874428	2.074005148	2.141095092	4.659374276	2.589511775	4.528788399	4.249566203	3.006985479	3.834053824	2.777905034	2.988998332	3.001712292	1.947363234	3.689331962	2.772224437	3.547248353	2.725986409	3.221033408	3.148514631	2.226319869	2.615233149	4.791372798	2.61875739	4.230097118
ABCD3	3.194191118	3.133811873	3.934202522	2.359401256	3.316987893	2.948158176	2.939648199	2.882659604	3.042661472	2.357706119	2.949097174	3.395542105	3.953786016	2.850658513	3.04306994	1.983941439	3.905696262	2.711752388	2.874204246	3.355766202	3.794664078	2.931227469	3.94548597	3.132231021
ABCD4	2.309033234	2.219695255	2.192072035	1.324286246	2.316764281	2.106989449	2.174094129	2.056734332	2.385668108	1.98884044	1.748145559	2.335969802	2.205628747	1.689261197	1.85251383	1.909735337	1.576755432	2.261028849	1.980857819	2.24430006	1.863871626	1.988448976	1.661346081	2.116056903
ABCE1	4.810536034	3.661015132	4.303729945	3.682048087	3.713870346	3.390997321	3.756363009	3.698898591	3.860997832	3.331970161	3.151767134	4.095330196	4.842024167	4.140980708	4.6175861	3.626203815	4.574846204	3.824177215	3.846146639	3.821586533	4.003953646	3.980593768	3.502648404	3.802495219
ABCF1	5.000519991	3.856557261	4.837042929	4.783877492	4.036645334	4.218199021	5.078963394	4.123629149	4.245738585	4.216261517	3.643593395	5.451898497	4.024503096	4.768442336	4.809066842	4.394659299	3.703636059	4.483692709	4.643489648	4.039148014	4.388818727	4.694983091	4.425097841	4.591673142
ABCF2	4.205688269	3.367423155	5.488575377	4.016801055	3.805976952	3.592592729	3.443693085	3.70611472	3.898554923	2.99460859	2.858397044	4.023650582	4.138687377	3.751326342	5.003866736	4.091297936	4.12900976	4.034266633	4.246050274	3.397376956	3.923853454	4.822502835	4.149607022	3.425350168
ABCF3	3.385057306	2.563744881	3.40088469	2.945868775	2.967803101	2.857944265	3.169467505	3.551490831	2.963994975	2.701446952	2.432414955	3.009203012	3.367798238	3.544990614	2.406697351	3.341478667	3.06337638	3.274501278	3.622046193	3.410147593	3.047276595	3.986338627	3.556610511	3.67638772
ABCG1	1.225048175	1.743017719	1.771924171	1.418731584	3.083266501	1.838254441	2.441870671	2.012439392	3.186678097	2.380515728	3.067906002	2.915118517	1.893204418	2.202061366	1.426852353	2.65190199	2.560012925	2.237442808	2.719176555	2.608828291	2.147256884	1.698741364	2.384094721	2.888139436
ABCG2	0.171512858	0.715299748	1.754830752	0.169014688	0.842177716	0.707139645	1.132699288	0.656782184	2.047278369	0.696777269	0.713548903	0.919863028	0.442915256	0.996043348	1.451581555	0.159456506	0.689065093	2.363194092	0.971375949	0.897378029	3.062595705	1.115509967	0.730955814	1.418006535
ABHD1	0.128141821	0.161689101	0.208414723	0.148546392	0.075106305	0.374186466	0.143974263	0.135505192	0.298477992	0.30423446	0.1888029	0.315589783	0.062490392	0.172479516	1.002436531	0.171611975	0.047207258	0.140285937	0.152860374	0.11776234	0.079634736	0.830976215	0.169576236	0.07207964
ABHD10	3.837878852	2.784939724	3.792036162	3.14310427	3.007810954	2.876074949	3.063917122	2.928756603	3.457462266	3.571444112	3.070692206	3.750106424	3.781841268	3.96519118	3.491319773	3.035489721	4.013044715	3.257808081	3.114065716	3.120200297	4.220905554	2.532459903	3.461238324	3.464183899
ABHD11	4.49125228	3.814939934	4.581466698	4.332242783	3.138190527	5.16259458	5.597430412	3.904780667	3.645258635	4.24131925	4.23126071	3.141469713	4.894745241	4.981662966	4.982923697	5.318035046	5.877762197	2.810703237	3.407148236	4.073728788	6.134014078	4.807771419	3.572522428	4.23913663
ABHD12	4.40678108	3.964604688	4.779722368	4.838853588	4.347786639	4.153191927	5.256978294	4.743321349	4.297580448	4.039119339	4.830507399	4.241529849	4.221401364	5.15709233	4.614047922	5.354591867	4.12620252	3.873297778	5.239039221	4.161345427	4.76425305	4.738638795	4.530292487	4.604550044
ABHD13	3.10710747	2.542539724	2.079466529	1.931969755	2.71347918	2.298688987	3.749292021	2.370311312	2.641076405	2.517052859	2.258436873	2.609260819	3.179125498	2.880228748	2.491705653	1.943058416	2.783035166	2.704036448	2.47787388	2.63333861	2.088707451	2.381928869	2.038518775	2.808734814
ABHD14A	3.066953703	2.70117437	1.609954913	2.546598356	2.265460071	2.219214274	3.084667871	2.728369317	2.562345281	3.221262014	3.094734267	3.128126137	2.612560598	2.166263849	2.892821631	2.881933088	1.846559383	2.263857121	2.909931122	1.805433511	2.408511902	3.456102579	2.515218525	3.053985013
ABHD14B	4.468261007	4.945133066	3.635954131	3.86138395	4.437927486	4.423889805	4.401416888	4.877286662	4.949665193	4.876860689	4.88392176	3.852076214	4.677906083	4.140740855	4.868003399	4.60258852	4.649566041	4.327369449	3.982011391	3.544802875	3.976167989	5.242107848	4.419425564	5.484175423
ABHD15	3.292768915	2.643497464	2.769406845	2.481603701	2.738941618	2.115914817	3.478369128	3.268598506	3.367623343	2.898615792	2.585237413	2.654615807	2.835500233	2.597087063	2.93118665	3.114808163	2.635790047	2.348753675	3.051074002	2.570663928	2.051527947	3.05565153	2.598869289	3.450039361
ABHD16A	1.361339495	1.255974696	1.123653139	1.525122928	0.980450863	1.036444875	1.997196191	1.055742884	1.077515014	1.487437862	1.172171976	1.974714706	1.113218806	1.36767625	1.412180324	0.890445678	0.97639028	1.526781259	1.327670775	0.993274131	1.269566078	1.252560656	1.000085568	1.702377755
ABHD17A	3.271976606	3.034361121	2.069681332	3.43645245	2.388796642	3.374041805	3.535314311	3.672171057	3.500858661	3.597923661	2.96780848	1.810461063	2.365733716	3.026229825	2.76145734	3.627676011	2.035391454	3.205680797	3.670693806	1.908351214	3.900305277	3.463828364	3.520327465	3.450520076
ABHD17B	3.243181012	2.507318924	2.513589298	2.654101625	2.476499977	2.113911485	2.36467926	2.449400659	3.006203976	4.837149895	2.335522541	2.511684796	2.961249026	2.467429207	2.075304959	2.16464754	3.033371297	3.076975353	2.726195921	3.069946843	2.230822617	3.127708543	2.412412563	2.904658162
ABHD17C	5.073433389	4.408446453	4.63170675	4.17663215	4.363676393	4.983557482	5.580988668	5.91375005	4.390197189	5.197317348	5.030362743	4.455448322	5.87168719	5.271124318	4.842280965	4.446316619	5.376122356	4.848661032	3.945077724	5.227889841	5.271824935	3.392576621	4.993031844	4.555583836
ABHD2	3.919449755	5.060253303	4.644686128	2.067160984	6.379883153	4.346872298	3.804189373	6.231379719	5.679188948	3.511416397	4.539395412	4.638684063	5.803218995	5.228653146	5.195090956	3.884210065	5.068004733	5.553711411	4.610787637	5.384047653	3.99341203	3.584657322	5.851123233	5.328359293
ABHD3	3.674365955	2.967698039	3.170614756	3.509597671	3.178062853	3.647037566	4.160947011	2.783355984	3.412933134	3.337434225	3.552276283	3.441061509	3.08191443	3.468722805	2.564940655	2.922293505	3.625906573	2.256079441	2.270330958	4.546075852	2.648912507	3.044736767	3.696589307	4.49378545
ABHD4	2.092016718	3.577642558	2.792971778	2.660276415	3.779655877	2.89273223	4.033047185	4.130658611	3.166392127	2.481634209	3.673948422	4.6593448	3.553428782	3.076578804	3.151981223	3.721071743	3.406585327	3.35965475	4.473975476	4.201019759	3.314386183	3.947427161	4.418392157	3.530938297
ABHD5	2.69843446	2.689950318	2.195463277	1.546327854	3.186970022	2.170952717	2.013226184	2.339787482	1.941001282	1.586553446	2.723299299	3.085802399	3.381254177	1.880784281	1.847936246	2.431955111	2.938259603	3.101590599	2.467208661	2.676681941	2.626959302	2.754631268	3.053696013	2.589522839
ABHD6	1.84031601	1.927862691	2.870129135	1.025259869	2.442294903	2.428382814	2.004429829	1.745461706	2.179487764	1.588888539	2.029048384	2.378939066	2.587139409	2.247984308	3.051652394	1.811684819	2.199375126	1.836859897	1.906165234	1.862772127	1.82093615	2.651045013	3.225695216	2.447654693
ABHD8	1.23094491	2.087701315	1.102115377	1.525199714	2.287210247	3.555600663	2.597250347	2.820442489	3.108403131	2.742037469	2.623569837	2.573373906	1.145510749	2.74590084	1.827774629	3.01859979	1.35883247	2.662827887	2.942504456	1.507552115	2.361064658	3.923735849	3.234518423	2.887899013
ABI1	4.364807905	4.621573426	4.842793191	3.713565176	4.53095176	4.165461581	3.943185143	3.908325451	4.426608847	4.140381772	4.004796669	5.510484927	4.951830285	4.171466042	3.374562228	3.813919099	4.865618421	4.093335051	3.747525398	5.067400308	3.768387909	4.244455203	4.159601606	4.127646802
ABI2	1.573309868	1.38199035	1.910370663	0.622450959	1.81950561	1.372770336	1.118671674	1.328109474	1.95185204	1.536810531	1.18157931	1.88167704	1.496496366	1.265415461	1.480118871	1.264356211	1.288422533	1.869623699	1.765024526	1.545411013	1.044051475	1.748238267	1.10754064	1.736285436
ABI3	1.08726869	2.657617174	1.914821447	4.073664548	3.53245848	3.055818202	2.450546481	3.348447416	3.702541799	4.09155582	4.128935467	1.732933352	2.216608987	1.750001803	1.548500765	2.394116724	3.065373856	2.7927828	3.911035937	2.483995144	4.595318831	2.33533689	3.07928645	4.090192584
ABI3BP	0.297508988	2.012367071	0.815165999	0.446648182	4.204047211	0.526451724	0.923171848	1.255104517	3.644374822	3.035168468	2.217580471	0.661313751	1.065922459	0.733090225	0.233005714	0.240577225	0.882052997	3.787340681	3.090888542	1.900076019	1.796947823	1.647225169	1.04418703	2.093891026
ABL1	5.159753353	3.475072412	3.830143361	3.807771357	4.718248446	3.49991788	3.793622604	4.484009468	4.649870271	5.505756775	3.675368111	3.540151511	3.982761382	3.483228958	3.50851363	3.878744907	3.8302854	5.337185307	5.216806893	4.040989248	4.489068823	4.598253499	4.053129733	4.478292723
ABL2	2.32699196	1.552334977	2.094950963	1.053599257	2.628993454	1.899032819	2.080640303	1.852354834	2.576180953	1.81672181	1.609239807	2.323494287	2.028919208	2.415557248	1.966105037	1.792270805	2.080137635	2.545516863	2.542111761	2.419837191	1.518569486	2.617706931	1.216355901	2.266990768
ABLIM1	4.635176895	5.178220844	4.49086311	3.24255513	5.097686162	3.66339095	3.448732053	4.120996985	5.220994302	4.109067359	3.693606247	3.229421785	5.229695625	5.35455724	3.645297139	3.919948101	4.649577389	4.707774341	4.8462162	5.324168963	3.570679521	4.183816994	5.553336878	5.03897966
ABLIM2	2.101744571	1.372153721	1.738901294	0.085254242	1.835396682	2.486584224	1.720421387	1.274433489	1.248539682	1.460838609	0.731137815	1.114066653	1.356716531	1.417861661	2.770062452	1.214340617	1.725780979	1.282386172	0.85616904	0.532780125	1.891618329	1.116036492	0.839519291	1.693827776
ABLIM3	1.679142173	2.916220857	3.121966697	0.745418691	3.288552894	1.152782121	0.962179163	2.588723012	3.355522329	1.427389273	2.592755087	0.703951705	1.371032141	1.272642815	3.054650133	4.163336602	0.871354299	2.447603358	2.532651897	1.667375379	1.033780106	1.062735152	1.1765956	2.126975221
ABO	2.609344445	3.195236321	1.279722918	0.095572674	3.54914426	1.407254536	1.998461418	3.039594543	2.65298608	4.161994786	3.412074831	2.428974355	2.093250701	3.017644177	1.580184247	1.059623321	2.069421432	3.897307602	0.445421768	2.310944257	1.112372475	2.656256401	2.60469675	3.118282576
ABR	4.429318968	3.864774026	3.975875175	2.380836436	4.053617733	2.596979511	3.816639468	3.432876161	4.188627577	3.85688663	3.096917408	3.691637155	3.341578202	4.072803387	3.264028962	4.288025524	4.138589883	3.973715502	3.833415417	3.310216439	3.656828773	2.737160055	3.679019386	4.236184914
ABRACL	5.799822486	4.703359207	4.389432498	4.843029555	4.663542436	5.169769724	5.590130055	4.062679893	4.643684351	4.166656618	5.505834993	4.181037031	5.743973282	5.273674065	5.220545392	5.070737665	5.733643162	3.990429084	4.333805988	6.814126973	5.317871417	4.70581751	4.252862325	4.310924488
ABT1	3.747319346	2.979905876	3.396021031	3.404904185	3.119493871	2.868011536	4.096418352	3.337519185	3.148978706	3.500846514	2.875494894	4.222664572	3.813120947	3.611153091	3.801939398	3.696121378	3.728302709	3.175181581	3.668002886	3.480550299	3.939699546	3.658994956	3.558018181	3.414340885
ABTB1	2.025723552	2.202175224	2.050278208	1.294879291	3.020891404	1.455549455	2.044479125	3.020628021	3.081080345	2.899483976	2.325883923	2.247564706	3.09625616	2.665091316	1.82707979	3.325779577	1.913196297	2.440227389	2.546387837	1.930227209	1.996818709	1.913251841	2.45107807	2.506777047
ABTB2	2.106396999	2.499751881	2.149961044	2.777444606	2.541690915	2.331621815	3.068087684	2.204019338	3.368640549	1.688269697	1.596038555	1.369662142	1.939192491	2.93569324	2.183718896	3.016672105	2.261549144	2.511992737	3.039691937	2.133744003	1.450500572	2.204318576	2.027621046	2.789620636
ACAA1	2.236552895	2.247236168	3.076615301	1.49969176	2.2940548	1.97062606	3.540336504	2.724080034	2.66317993	1.959703728	2.24339246	2.253494486	2.238998822	3.01433816	2.143945981	2.929349016	2.353308857	2.213522908	2.360069908	1.979208662	2.413118524	2.909359053	3.454385287	2.684194255
ACAA2	4.929995842	3.476565885	5.520423104	2.715993614	4.387877416	4.096298282	4.903934298	3.470398752	2.950301971	2.538617186	4.45844849	2.887277964	3.182525717	3.651371574	2.961802965	3.446535452	4.774225204	3.575456049	3.572445026	2.895564156	1.848240374	2.688597157	3.157356306	3.573141328
ACACA	3.067868101	2.764188797	4.182373822	2.139881416	2.793517918	2.05914984	3.195180288	2.676919213	2.431196986	1.61811046	1.712283786	2.453167389	3.109248727	2.676667141	3.38169189	3.253087203	3.204562082	3.011583351	2.468358091	2.548401872	2.835644562	2.975415888	2.369133027	2.925175564
ACACB	0.659280936	1.132550708	0.784564391	1.475951037	1.738998205	1.06654931	0.943269434	1.50289392	2.328787707	1.975170244	1.383238293	1.485731883	0.805606013	1.586518414	0.485298443	0.342988423	0.7263291	1.942363721	2.268282764	1.575738753	0.90684672	1.63087313	1.916938013	1.653997099
ACAD10	2.017381356	1.830516704	2.0227128	1.774571447	2.049541169	1.411595987	2.633801607	1.919711582	2.280061918	2.323925466	1.835990453	1.647940852	1.855765504	2.385891909	2.251337505	2.004428866	1.70094376	1.760877882	1.983739447	1.778685282	1.682339857	1.953154032	1.811207823	1.921109619
ACAD11	0.151568771	0.133267179	0.136521568	0.098686023	0.081532508	0.13977986	0.1326948	0.049544609	0.228880989	0.130021678	0.040573883	0.062591254	0.097157125	0.181132289	0.20186844	0.036705322	0.072884541	0.151100708	0.143548241	0.067450289	0.052481038	0.132867994	0.082318827	0.119114798
