Ensembl_ID	TCGA-L5-A4OI-01A	TCGA-L7-A6VZ-01A	TCGA-JY-A93D-01A	TCGA-VR-A8EX-01A	TCGA-L5-A8NF-01A	TCGA-L5-A8NH-01A	TCGA-L5-A4OT-01A	TCGA-2H-A9GO-01A	TCGA-VR-A8EU-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A5U5-01A	TCGA-L5-A4OO-01A
LIN37	0.879930592	0.776408216	0.515665876	0.793244568	0.357735138	0.528108867	0.603910063	0.865787827	0.691846669	0.69965662	0.675804609	1.066436075
LIN52	1.473008601	1.602818621	1.750006522	1.543633571	2.093788026	1.930735333	2.401221902	2.336066047	1.906030926	1.803341153	2.824751782	1.955642552
LIN54	2.368227637	1.864171954	2.476139623	2.220168763	2.557363565	2.114986302	2.346620334	2.100052884	2.483732974	2.520338188	2.005435479	2.060625235
LIN7A	0.103054502	0.178449998	1.391124987	0.078657547	0.180018271	0.336093958	0.845951541	0.191631833	0.208130945	0.677364785	1.030890529	0.897784279
LIN7B	0.881684885	1.032767358	0.973045971	2.472728299	1.113014676	0.850827618	1.027032316	1.316575557	1.104203502	2.098195083	1.414683176	1.877888312
LIN7C	4.256263559	3.833681099	3.706456071	5.755445875	4.357706801	3.874011925	4.361200097	4.21874779	3.555830997	3.852819788	4.720481246	3.800349387
LIN9	1.88901196	2.018294284	2.164010551	1.48546203	1.964064733	2.533639907	2.003036764	2.394683833	1.350835116	2.725118131	2.66350163	1.521951563
LINGO1	0.241353729	1.201712399	0.904607761	0.46181464	0.853323165	0.990343836	1.00859339	1.887187492	0.575455438	1.148249779	0.544280731	1.517785289
LINGO3	0.213294499	0.223520235	1.490727698	0.727134725	0.363966746	0.366529455	0.736230758	0.116424043	0.315234194	0.233678285	0.145112795	1.080447436
LIPA	3.423336296	4.237212248	5.025203325	2.893176096	3.914390602	4.172344178	4.149848651	3.353069587	4.850605675	4.436023814	4.282210979	3.926753211
LIPC	0.031276295	0.7645688	0.440581115	0.03981276	0.048671116	0.509148709	0.271466145	0.16102111	0.043902964	0.03609742	0.030926655	0.275279423
LIPE	1.343108753	2.324188715	1.602691623	2.457534737	1.371525788	1.16678588	0.861632593	1.365140344	0.837667426	1.272243931	0.417526444	1.265571865
LIPG	2.983355029	0.862321797	2.069654388	0.435750748	0.734370247	3.641059639	2.171120495	0.689901357	0.93596465	0.442133866	0.429191441	0.828685097
LIPH	4.319241555	4.856085826	3.589084903	2.704944004	5.92525711	3.843132919	4.361311257	5.252450304	0.754052869	0.309154736	1.734840208	4.766404915
LIPT1	1.355939296	1.113158477	1.701342077	1.324032244	1.931964582	1.577974364	1.370221325	1.834753309	0.962624659	1.324353271	1.607955449	1.967980794
LIPT2	1.569954692	2.044950855	1.537972255	1.151853365	3.708044351	2.868092521	1.443686368	2.847622244	0.612151026	2.74861659	1.834131235	1.610182722
LITAF	2.777574137	5.17718681	5.413235814	4.847584675	5.387529775	4.709564193	5.385775586	4.446113852	4.213197897	3.819816206	5.505270953	5.406205327
LIX1L	2.257288633	2.665276294	4.330622831	1.654613369	3.103219739	2.439582521	3.331728575	1.69149837	2.935269963	2.068745766	3.39721191	3.820307358
LLGL1	3.566651569	3.468194501	2.867551936	3.821808065	2.720293569	2.903880729	2.477309667	2.913906869	3.271263775	2.661878364	3.301798411	2.898142066
LLGL2	6.206088234	5.282888154	5.060363037	3.45609939	5.458486289	6.039260313	4.80323777	4.761883488	2.164082649	2.721345863	2.711847923	5.317761451
LLPH	2.052191363	2.220094508	2.082155597	2.293265568	4.954169595	1.922209412	1.954367276	2.541440742	2.007569046	2.625185619	2.832074174	2.284320319
LMAN1	4.085625283	4.667155501	4.643658519	4.174047945	4.669669527	4.753177987	5.119561094	5.031051859	4.255521255	4.468765674	4.705469515	4.435368296
LMAN2	5.541581044	5.796505789	4.948806734	5.490660824	5.389756964	4.773100056	4.718500805	4.890063088	5.241611187	6.474578467	5.511685459	5.460490385
LMAN2L	2.850577026	3.413467985	3.075966428	2.862218944	2.987252943	2.560860976	2.863173414	2.775853207	3.124535642	3.40729981	3.501986362	3.444358831
LMBR1	2.743332898	2.397022381	2.966978566	2.310629941	1.813300867	2.423966742	2.564580795	2.534473137	2.660575958	2.703108804	3.423574471	2.430507695
LMBR1L	2.806545523	1.930219788	2.611822708	1.995087342	1.653073165	1.862577562	2.586507849	1.675315793	1.814130265	1.641512477	2.055848062	2.458786364
LMBRD1	4.759253377	5.004051513	4.945418599	3.853125494	4.728664016	4.356637964	4.713691702	4.411365921	3.201139499	3.932281246	5.221483282	4.472304183
LMBRD2	3.459563826	2.504218714	3.076101499	1.684097135	3.367808163	3.385039701	2.961166621	2.974669011	1.653639099	1.598193633	2.337726292	1.875121903
LMCD1	0.875577518	0.802812502	2.166694226	0.781925159	1.90221634	0.940430579	2.119285175	0.728968262	1.111828064	1.768869635	0.610289219	2.311283295
LMF1	1.21707748	1.115829672	1.415102839	1.44476047	1.706427468	0.737869766	1.070472522	0.716689855	0.410480836	1.353580583	0.978349818	1.747354642
